account_id,customer_id,account_token,currency,account_status,opened_at
ACC-000001,CUS-000132,SYN-ACCOUNT-000001,THB,ACTIVE,2025-07-18 00:00:00
ACC-000002,CUS-000121,SYN-ACCOUNT-000002,USD,ACTIVE,2025-09-28 00:00:00
ACC-000003,CUS-000250,SYN-ACCOUNT-000003,THB,ACTIVE,2025-11-28 00:00:00
ACC-000004,CUS-000041,SYN-ACCOUNT-000004,THB,ACTIVE,2025-12-06 00:00:00
ACC-000005,CUS-000074,SYN-ACCOUNT-000005,THB,ACTIVE,2025-12-06 00:00:00
ACC-000006,CUS-000091,SYN-ACCOUNT-000006,USD,ACTIVE,2025-10-16 00:00:00
ACC-000007,CUS-000283,SYN-ACCOUNT-000007,THB,ACTIVE,2025-07-09 00:00:00
ACC-000008,CUS-000090,SYN-ACCOUNT-000008,THB,ACTIVE,2025-08-05 00:00:00
ACC-000009,CUS-000002,SYN-ACCOUNT-000009,SGD,ACTIVE,2025-05-04 00:00:00
ACC-000010,CUS-000215,SYN-ACCOUNT-000010,USD,ACTIVE,2025-07-04 00:00:00
ACC-000011,CUS-000241,SYN-ACCOUNT-000011,SGD,ACTIVE,2025-09-10 00:00:00
ACC-000012,CUS-000279,SYN-ACCOUNT-000012,SGD,ACTIVE,2025-07-09 00:00:00
ACC-000013,CUS-000186,SYN-ACCOUNT-000013,THB,ACTIVE,2025-09-10 00:00:00
ACC-000014,CUS-000053,SYN-ACCOUNT-000014,THB,ACTIVE,2025-08-16 00:00:00
ACC-000015,CUS-000208,SYN-ACCOUNT-000015,USD,ACTIVE,2025-05-18 00:00:00
ACC-000016,CUS-000177,SYN-ACCOUNT-000016,SGD,ACTIVE,2025-07-08 00:00:00
ACC-000017,CUS-000092,SYN-ACCOUNT-000017,USD,ACTIVE,2025-11-04 00:00:00
ACC-000018,CUS-000251,SYN-ACCOUNT-000018,THB,REVIEW,2025-10-02 00:00:00
ACC-000019,CUS-000036,SYN-ACCOUNT-000019,SGD,ACTIVE,2025-03-21 00:00:00
ACC-000020,CUS-000276,SYN-ACCOUNT-000020,THB,ACTIVE,2025-12-21 00:00:00
ACC-000021,CUS-000078,SYN-ACCOUNT-000021,USD,ACTIVE,2025-09-13 00:00:00
ACC-000022,CUS-000180,SYN-ACCOUNT-000022,SGD,ACTIVE,2025-04-08 00:00:00
ACC-000023,CUS-000140,SYN-ACCOUNT-000023,SGD,ACTIVE,2025-04-23 00:00:00
ACC-000024,CUS-000245,SYN-ACCOUNT-000024,SGD,ACTIVE,2025-07-23 00:00:00
ACC-000025,CUS-000180,SYN-ACCOUNT-000025,USD,ACTIVE,2025-06-20 00:00:00
ACC-000026,CUS-000131,SYN-ACCOUNT-000026,USD,ACTIVE,2025-05-09 00:00:00
ACC-000027,CUS-000048,SYN-ACCOUNT-000027,SGD,REVIEW,2025-06-16 00:00:00
ACC-000028,CUS-000205,SYN-ACCOUNT-000028,SGD,ACTIVE,2025-03-27 00:00:00
ACC-000029,CUS-000281,SYN-ACCOUNT-000029,THB,ACTIVE,2025-06-13 00:00:00
ACC-000030,CUS-000093,SYN-ACCOUNT-000030,SGD,ACTIVE,2025-12-11 00:00:00
ACC-000031,CUS-000037,SYN-ACCOUNT-000031,THB,ACTIVE,2025-09-27 00:00:00
ACC-000032,CUS-000236,SYN-ACCOUNT-000032,SGD,ACTIVE,2025-10-08 00:00:00
ACC-000033,CUS-000255,SYN-ACCOUNT-000033,USD,ACTIVE,2025-10-23 00:00:00
ACC-000034,CUS-000177,SYN-ACCOUNT-000034,SGD,ACTIVE,2025-03-28 00:00:00
ACC-000035,CUS-000197,SYN-ACCOUNT-000035,THB,ACTIVE,2025-07-01 00:00:00
ACC-000036,CUS-000025,SYN-ACCOUNT-000036,SGD,ACTIVE,2025-03-24 00:00:00
ACC-000037,CUS-000086,SYN-ACCOUNT-000037,USD,ACTIVE,2025-07-14 00:00:00
ACC-000038,CUS-000222,SYN-ACCOUNT-000038,THB,ACTIVE,2025-07-08 00:00:00
ACC-000039,CUS-000010,SYN-ACCOUNT-000039,USD,ACTIVE,2025-08-22 00:00:00
ACC-000040,CUS-000171,SYN-ACCOUNT-000040,USD,ACTIVE,2025-05-20 00:00:00
ACC-000041,CUS-000278,SYN-ACCOUNT-000041,THB,ACTIVE,2025-08-24 00:00:00
ACC-000042,CUS-000035,SYN-ACCOUNT-000042,THB,ACTIVE,2025-06-09 00:00:00
ACC-000043,CUS-000068,SYN-ACCOUNT-000043,SGD,ACTIVE,2025-08-16 00:00:00
ACC-000044,CUS-000160,SYN-ACCOUNT-000044,USD,ACTIVE,2025-10-01 00:00:00
ACC-000045,CUS-000013,SYN-ACCOUNT-000045,THB,ACTIVE,2025-10-05 00:00:00
ACC-000046,CUS-000009,SYN-ACCOUNT-000046,SGD,ACTIVE,2025-05-07 00:00:00
ACC-000047,CUS-000106,SYN-ACCOUNT-000047,THB,ACTIVE,2025-03-16 00:00:00
ACC-000048,CUS-000042,SYN-ACCOUNT-000048,THB,ACTIVE,2025-08-22 00:00:00
ACC-000049,CUS-000119,SYN-ACCOUNT-000049,USD,ACTIVE,2025-11-26 00:00:00
ACC-000050,CUS-000154,SYN-ACCOUNT-000050,SGD,ACTIVE,2025-09-02 00:00:00
ACC-000051,CUS-000053,SYN-ACCOUNT-000051,USD,ACTIVE,2025-09-03 00:00:00
ACC-000052,CUS-000214,SYN-ACCOUNT-000052,SGD,ACTIVE,2025-04-12 00:00:00
ACC-000053,CUS-000207,SYN-ACCOUNT-000053,THB,ACTIVE,2025-07-08 00:00:00
ACC-000054,CUS-000009,SYN-ACCOUNT-000054,USD,ACTIVE,2025-05-27 00:00:00
ACC-000055,CUS-000133,SYN-ACCOUNT-000055,THB,ACTIVE,2025-08-20 00:00:00
ACC-000056,CUS-000233,SYN-ACCOUNT-000056,USD,ACTIVE,2025-03-20 00:00:00
ACC-000057,CUS-000026,SYN-ACCOUNT-000057,THB,ACTIVE,2025-05-18 00:00:00
ACC-000058,CUS-000205,SYN-ACCOUNT-000058,SGD,ACTIVE,2025-04-22 00:00:00
ACC-000059,CUS-000181,SYN-ACCOUNT-000059,SGD,ACTIVE,2025-05-30 00:00:00
ACC-000060,CUS-000278,SYN-ACCOUNT-000060,SGD,ACTIVE,2025-09-04 00:00:00
ACC-000061,CUS-000027,SYN-ACCOUNT-000061,SGD,ACTIVE,2025-07-19 00:00:00
ACC-000062,CUS-000011,SYN-ACCOUNT-000062,USD,ACTIVE,2025-12-09 00:00:00
ACC-000063,CUS-000180,SYN-ACCOUNT-000063,THB,ACTIVE,2025-09-15 00:00:00
ACC-000064,CUS-000050,SYN-ACCOUNT-000064,SGD,ACTIVE,2025-04-18 00:00:00
ACC-000065,CUS-000223,SYN-ACCOUNT-000065,THB,ACTIVE,2025-08-03 00:00:00
ACC-000066,CUS-000033,SYN-ACCOUNT-000066,SGD,ACTIVE,2025-08-01 00:00:00
ACC-000067,CUS-000193,SYN-ACCOUNT-000067,THB,SUSPENDED,2025-09-14 00:00:00
ACC-000068,CUS-000010,SYN-ACCOUNT-000068,USD,ACTIVE,2025-07-16 00:00:00
ACC-000069,CUS-000288,SYN-ACCOUNT-000069,SGD,ACTIVE,2025-10-12 00:00:00
ACC-000070,CUS-000192,SYN-ACCOUNT-000070,THB,ACTIVE,2025-07-08 00:00:00
ACC-000071,CUS-000153,SYN-ACCOUNT-000071,USD,ACTIVE,2025-10-17 00:00:00
ACC-000072,CUS-000001,SYN-ACCOUNT-000072,THB,ACTIVE,2025-10-05 00:00:00
ACC-000073,CUS-000192,SYN-ACCOUNT-000073,THB,ACTIVE,2025-04-19 00:00:00
ACC-000074,CUS-000082,SYN-ACCOUNT-000074,THB,ACTIVE,2025-11-30 00:00:00
ACC-000075,CUS-000192,SYN-ACCOUNT-000075,SGD,ACTIVE,2025-08-08 00:00:00
ACC-000076,CUS-000292,SYN-ACCOUNT-000076,USD,ACTIVE,2025-12-07 00:00:00
ACC-000077,CUS-000296,SYN-ACCOUNT-000077,SGD,ACTIVE,2025-06-20 00:00:00
ACC-000078,CUS-000254,SYN-ACCOUNT-000078,SGD,ACTIVE,2025-09-25 00:00:00
ACC-000079,CUS-000058,SYN-ACCOUNT-000079,SGD,ACTIVE,2025-12-11 00:00:00
ACC-000080,CUS-000276,SYN-ACCOUNT-000080,USD,ACTIVE,2025-08-22 00:00:00
ACC-000081,CUS-000156,SYN-ACCOUNT-000081,USD,REVIEW,2025-05-08 00:00:00
ACC-000082,CUS-000008,SYN-ACCOUNT-000082,USD,ACTIVE,2025-05-19 00:00:00
ACC-000083,CUS-000111,SYN-ACCOUNT-000083,USD,ACTIVE,2025-12-13 00:00:00
ACC-000084,CUS-000190,SYN-ACCOUNT-000084,USD,ACTIVE,2025-04-05 00:00:00
ACC-000085,CUS-000241,SYN-ACCOUNT-000085,USD,REVIEW,2025-03-19 00:00:00
ACC-000086,CUS-000040,SYN-ACCOUNT-000086,SGD,SUSPENDED,2025-12-18 00:00:00
ACC-000087,CUS-000181,SYN-ACCOUNT-000087,THB,ACTIVE,2025-10-11 00:00:00
ACC-000088,CUS-000020,SYN-ACCOUNT-000088,SGD,ACTIVE,2025-07-30 00:00:00
