customer_id,customer_token,risk_tier,segment,country_code,created_at
CUS-000001,SYN-CUSTOMER-000001,HIGH,PREMIUM,US,2025-04-29 00:00:00
CUS-000002,SYN-CUSTOMER-000002,LOW,RETAIL,SG,2025-09-24 00:00:00
CUS-000003,SYN-CUSTOMER-000003,LOW,RETAIL,SG,2025-02-03 00:00:00
CUS-000004,SYN-CUSTOMER-000004,LOW,RETAIL,TH,2025-07-02 00:00:00
CUS-000005,SYN-CUSTOMER-000005,MEDIUM,RETAIL,TH,2025-12-02 00:00:00
CUS-000006,SYN-CUSTOMER-000006,MEDIUM,RETAIL,TH,2025-03-22 00:00:00
CUS-000007,SYN-CUSTOMER-000007,MEDIUM,RETAIL,US,2025-05-23 00:00:00
CUS-000008,SYN-CUSTOMER-000008,MEDIUM,RETAIL,TH,2025-01-28 00:00:00
CUS-000009,SYN-CUSTOMER-000009,LOW,PREMIUM,TH,2025-08-21 00:00:00
CUS-000010,SYN-CUSTOMER-000010,LOW,SME_OWNER,TH,2025-05-04 00:00:00
CUS-000011,SYN-CUSTOMER-000011,LOW,RETAIL,TH,2025-03-04 00:00:00
CUS-000012,SYN-CUSTOMER-000012,HIGH,RETAIL,TH,2025-05-17 00:00:00
CUS-000013,SYN-CUSTOMER-000013,LOW,SME_OWNER,TH,2025-03-02 00:00:00
CUS-000014,SYN-CUSTOMER-000014,LOW,RETAIL,TH,2025-04-23 00:00:00
CUS-000015,SYN-CUSTOMER-000015,LOW,RETAIL,TH,2025-04-10 00:00:00
CUS-000016,SYN-CUSTOMER-000016,LOW,RETAIL,US,2025-08-13 00:00:00
CUS-000017,SYN-CUSTOMER-000017,MEDIUM,SME_OWNER,SG,2025-04-27 00:00:00
CUS-000018,SYN-CUSTOMER-000018,LOW,RETAIL,US,2025-09-14 00:00:00
CUS-000019,SYN-CUSTOMER-000019,LOW,SME_OWNER,SG,2025-08-17 00:00:00
CUS-000020,SYN-CUSTOMER-000020,LOW,SME_OWNER,TH,2025-08-26 00:00:00
CUS-000021,SYN-CUSTOMER-000021,LOW,RETAIL,TH,2025-03-02 00:00:00
CUS-000022,SYN-CUSTOMER-000022,LOW,RETAIL,TH,2025-03-31 00:00:00
CUS-000023,SYN-CUSTOMER-000023,LOW,RETAIL,US,2025-08-13 00:00:00
CUS-000024,SYN-CUSTOMER-000024,LOW,RETAIL,SG,2025-06-25 00:00:00
CUS-000025,SYN-CUSTOMER-000025,LOW,RETAIL,TH,2025-03-04 00:00:00
CUS-000026,SYN-CUSTOMER-000026,LOW,RETAIL,TH,2025-01-07 00:00:00
CUS-000027,SYN-CUSTOMER-000027,LOW,PREMIUM,US,2025-04-29 00:00:00
CUS-000028,SYN-CUSTOMER-000028,MEDIUM,RETAIL,TH,2025-04-15 00:00:00
CUS-000029,SYN-CUSTOMER-000029,MEDIUM,RETAIL,SG,2025-10-17 00:00:00
CUS-000030,SYN-CUSTOMER-000030,HIGH,SME_OWNER,TH,2025-04-29 00:00:00
CUS-000031,SYN-CUSTOMER-000031,LOW,PREMIUM,TH,2025-02-10 00:00:00
CUS-000032,SYN-CUSTOMER-000032,LOW,RETAIL,TH,2025-05-21 00:00:00
CUS-000033,SYN-CUSTOMER-000033,LOW,RETAIL,TH,2025-05-16 00:00:00
CUS-000034,SYN-CUSTOMER-000034,LOW,SME_OWNER,SG,2025-06-12 00:00:00
CUS-000035,SYN-CUSTOMER-000035,LOW,RETAIL,TH,2025-05-24 00:00:00
CUS-000036,SYN-CUSTOMER-000036,LOW,RETAIL,TH,2025-03-23 00:00:00
CUS-000037,SYN-CUSTOMER-000037,LOW,RETAIL,TH,2025-10-24 00:00:00
CUS-000038,SYN-CUSTOMER-000038,LOW,SME_OWNER,TH,2025-05-10 00:00:00
CUS-000039,SYN-CUSTOMER-000039,LOW,RETAIL,TH,2025-08-31 00:00:00
CUS-000040,SYN-CUSTOMER-000040,LOW,RETAIL,TH,2025-06-06 00:00:00
CUS-000041,SYN-CUSTOMER-000041,HIGH,RETAIL,TH,2025-06-01 00:00:00
CUS-000042,SYN-CUSTOMER-000042,LOW,RETAIL,US,2025-04-28 00:00:00
CUS-000043,SYN-CUSTOMER-000043,MEDIUM,RETAIL,TH,2025-06-08 00:00:00
CUS-000044,SYN-CUSTOMER-000044,MEDIUM,RETAIL,US,2025-03-25 00:00:00
CUS-000045,SYN-CUSTOMER-000045,MEDIUM,SME_OWNER,TH,2025-10-18 00:00:00
CUS-000046,SYN-CUSTOMER-000046,LOW,RETAIL,TH,2025-01-08 00:00:00
CUS-000047,SYN-CUSTOMER-000047,LOW,RETAIL,TH,2025-02-10 00:00:00
CUS-000048,SYN-CUSTOMER-000048,LOW,RETAIL,SG,2025-03-05 00:00:00
CUS-000049,SYN-CUSTOMER-000049,HIGH,RETAIL,TH,2025-05-12 00:00:00
CUS-000050,SYN-CUSTOMER-000050,LOW,RETAIL,US,2025-02-01 00:00:00
CUS-000051,SYN-CUSTOMER-000051,MEDIUM,RETAIL,TH,2025-02-09 00:00:00
CUS-000052,SYN-CUSTOMER-000052,MEDIUM,RETAIL,TH,2025-05-18 00:00:00
CUS-000053,SYN-CUSTOMER-000053,MEDIUM,RETAIL,TH,2025-08-12 00:00:00
CUS-000054,SYN-CUSTOMER-000054,MEDIUM,SME_OWNER,TH,2025-10-04 00:00:00
CUS-000055,SYN-CUSTOMER-000055,MEDIUM,RETAIL,TH,2025-03-20 00:00:00
CUS-000056,SYN-CUSTOMER-000056,LOW,RETAIL,TH,2025-06-11 00:00:00
CUS-000057,SYN-CUSTOMER-000057,LOW,RETAIL,TH,2025-03-20 00:00:00
CUS-000058,SYN-CUSTOMER-000058,LOW,RETAIL,TH,2025-08-05 00:00:00
CUS-000059,SYN-CUSTOMER-000059,LOW,RETAIL,TH,2025-10-18 00:00:00
CUS-000060,SYN-CUSTOMER-000060,LOW,RETAIL,TH,2025-04-03 00:00:00
CUS-000061,SYN-CUSTOMER-000061,LOW,RETAIL,TH,2025-05-31 00:00:00
CUS-000062,SYN-CUSTOMER-000062,LOW,RETAIL,SG,2025-03-04 00:00:00
CUS-000063,SYN-CUSTOMER-000063,MEDIUM,SME_OWNER,SG,2025-09-28 00:00:00
CUS-000064,SYN-CUSTOMER-000064,MEDIUM,RETAIL,TH,2025-09-01 00:00:00
