business_date,currency,transaction_count,transaction_amount_minor,refund_count,refund_amount_minor,reversal_count,reversal_amount_minor,settlement_item_count,settlement_net_amount_minor,control_status
2026-01-01,SGD,29,137709,0,0,0,0,0,0,MATCHED
2026-01-01,THB,18,202487,0,0,0,0,0,0,MATCHED
2026-01-01,USD,27,229334,0,0,0,0,0,0,MATCHED
2026-01-02,SGD,24,243326,0,0,0,0,0,0,MATCHED
2026-01-02,THB,23,169401,0,0,0,0,0,0,MATCHED
2026-01-02,USD,28,195663,0,0,0,0,0,0,MATCHED
2026-01-03,SGD,32,423789,0,0,1,10500,29,116585,MATCHED
2026-01-03,THB,13,138453,0,0,0,0,18,199126,MATCHED
2026-01-03,USD,20,163727,0,0,0,0,27,229334,MATCHED
2026-01-04,SGD,30,217365,1,282,0,0,24,230542,MATCHED
2026-01-04,THB,15,115048,0,0,0,0,23,167576,MATCHED
2026-01-04,USD,19,119169,2,4205,0,0,28,191458,MATCHED
2026-01-05,SGD,22,123259,2,21388,0,0,32,405903,MATCHED
2026-01-05,THB,26,218953,2,2608,0,0,13,130946,MATCHED
2026-01-05,USD,18,110447,0,0,0,0,20,163727,MATCHED
2026-01-06,SGD,27,170638,1,418,1,6482,30,214100,MATCHED
2026-01-06,THB,20,184764,0,0,0,0,15,114265,MATCHED
2026-01-06,USD,25,166506,0,0,0,0,19,103303,MATCHED
2026-01-07,SGD,18,62970,4,22277,0,0,22,114946,MATCHED
2026-01-07,THB,25,186270,1,973,1,1555,26,216759,MATCHED
2026-01-07,USD,19,198303,2,2505,1,8291,18,109207,MATCHED
2026-01-08,SGD,27,182960,0,0,0,0,27,166970,MATCHED
2026-01-08,THB,25,284152,4,10534,0,0,20,184764,MATCHED
2026-01-08,USD,21,197746,0,0,1,4452,25,153763,MATCHED
2026-01-09,SGD,27,224431,2,2852,1,3668,18,61864,MATCHED
2026-01-09,THB,23,177851,1,4546,1,3532,25,172724,MATCHED
2026-01-09,USD,25,133288,0,0,0,0,19,197908,MATCHED
2026-01-10,SGD,21,128469,0,0,1,26222,27,180044,MATCHED
2026-01-10,THB,21,110139,1,1691,1,3503,25,276936,MATCHED
2026-01-10,USD,20,173189,0,0,0,0,21,192967,MATCHED
2026-01-11,SGD,22,240262,2,1866,0,0,27,173075,MATCHED
2026-01-11,THB,18,216305,1,4734,1,11565,23,167829,MATCHED
2026-01-11,USD,18,142223,2,14996,1,11576,25,121712,MATCHED
2026-01-12,SGD,22,150350,1,279,2,7562,21,124861,MATCHED
2026-01-12,THB,23,141103,2,4039,2,2076,21,82072,MATCHED
2026-01-12,USD,19,126129,1,3826,1,5610,20,162370,MATCHED
2026-01-13,SGD,18,159332,1,796,1,10528,22,228866,MATCHED
2026-01-13,THB,24,156665,1,299,1,5567,18,215744,MATCHED
2026-01-13,USD,22,100156,4,41687,0,0,18,116277,MATCHED
2026-01-14,SGD,25,137887,1,4010,1,1547,22,135947,MATCHED
2026-01-14,THB,17,170845,4,9857,1,7894,23,129607,MATCHED
2026-01-14,USD,20,163415,1,611,0,0,19,104509,MATCHED
2026-01-15,SGD,16,186745,1,12740,2,8400,18,156886,MATCHED
2026-01-15,THB,22,155241,3,5240,2,59952,24,140892,MATCHED
2026-01-15,USD,16,128696,1,843,1,5204,22,96646,MATCHED
2026-01-16,SGD,31,137924,1,2061,0,0,25,126375,MATCHED
2026-01-16,THB,29,366425,0,0,2,13484,17,116346,MATCHED
2026-01-16,USD,23,224252,1,207,0,0,20,156199,MATCHED
2026-01-17,SGD,20,154256,3,19865,0,0,16,181873,MATCHED
2026-01-17,THB,17,78885,2,11472,0,0,22,144828,MATCHED
2026-01-17,USD,21,106856,3,5720,1,2696,16,128696,MATCHED
2026-01-18,SGD,28,152836,3,3576,1,2811,31,121158,MATCHED
2026-01-18,THB,21,186510,3,29512,0,0,29,315227,MATCHED
2026-01-18,USD,24,159910,1,1423,0,0,23,219448,MATCHED
2026-01-19,SGD,28,210406,0,0,0,0,20,150707,MATCHED
2026-01-19,THB,26,119967,0,0,0,0,17,76773,MATCHED
2026-01-19,USD,20,149826,1,8170,0,0,21,105351,MATCHED
2026-01-20,SGD,24,179010,1,1356,1,7698,28,141710,MATCHED
2026-01-20,THB,24,212205,2,10506,2,7883,21,184202,MATCHED
2026-01-20,USD,19,149102,0,0,1,685,24,159317,MATCHED
2026-01-21,SGD,21,181409,3,14423,0,0,28,156402,MATCHED
2026-01-21,THB,26,158809,2,1823,1,2308,26,115417,MATCHED
2026-01-21,USD,24,138976,3,7254,1,2087,20,136147,MATCHED
2026-01-22,SGD,22,124089,3,8078,0,0,24,173219,MATCHED
2026-01-22,THB,18,261116,2,6183,3,10045,24,206368,MATCHED
2026-01-22,USD,23,288975,2,14272,0,0,19,137327,MATCHED
2026-01-23,SGD,21,201027,2,32881,2,4691,21,177402,MATCHED
2026-01-23,THB,13,180742,0,0,0,0,26,130815,MATCHED
2026-01-23,USD,20,125416,1,2218,1,3733,24,132096,MATCHED
2026-01-24,SGD,21,181684,3,20774,0,0,22,122322,MATCHED
2026-01-24,THB,29,300845,5,22947,0,0,18,254820,MATCHED
2026-01-24,USD,21,158768,2,780,1,2629,23,288840,MATCHED
2026-01-25,SGD,21,143092,5,22681,0,0,21,192025,MATCHED
2026-01-25,THB,23,158185,2,2959,0,0,13,177439,MATCHED
2026-01-25,USD,21,175153,1,706,0,0,20,122142,MATCHED
2026-01-26,SGD,28,271364,0,0,0,0,21,149914,MATCHED
2026-01-26,THB,15,128700,0,0,0,0,29,295005,MATCHED
2026-01-26,USD,19,99220,1,2370,0,0,21,146686,MATCHED
2026-01-27,SGD,31,274111,1,2400,2,16383,21,126826,MATCHED
2026-01-27,THB,27,253913,0,0,1,7313,23,149127,MATCHED
2026-01-27,USD,22,119456,1,615,1,7814,21,162844,MATCHED
2026-01-28,SGD,24,120606,2,11620,0,0,28,241712,MATCHED
2026-01-28,THB,24,200064,3,9293,0,0,15,121651,MATCHED
2026-01-28,USD,17,72984,3,6623,3,15255,19,97971,MATCHED
2026-01-29,SGD,23,162985,3,6023,3,39034,31,259073,MATCHED
2026-01-29,THB,25,284374,1,2281,1,1950,27,253913,MATCHED
2026-01-29,USD,26,206969,2,2344,1,8059,22,101576,MATCHED
