merchant_id,merchant_token,merchant_category,country_code,settlement_currency,merchant_status
MER-00001,SYN-MERCHANT-00001,RETAIL,TH,THB,ACTIVE
MER-00002,SYN-MERCHANT-00002,TRAVEL,US,THB,ACTIVE
MER-00003,SYN-MERCHANT-00003,FOOD,TH,THB,ACTIVE
MER-00004,SYN-MERCHANT-00004,FOOD,SG,USD,ACTIVE
MER-00005,SYN-MERCHANT-00005,SERVICES,TH,USD,ACTIVE
MER-00006,SYN-MERCHANT-00006,DIGITAL,TH,THB,ACTIVE
MER-00007,SYN-MERCHANT-00007,DIGITAL,TH,THB,ACTIVE
MER-00008,SYN-MERCHANT-00008,TRAVEL,TH,THB,ACTIVE
MER-00009,SYN-MERCHANT-00009,FOOD,TH,USD,ACTIVE
MER-00010,SYN-MERCHANT-00010,TRAVEL,TH,USD,ACTIVE
MER-00011,SYN-MERCHANT-00011,TRAVEL,TH,SGD,ACTIVE
MER-00012,SYN-MERCHANT-00012,DIGITAL,TH,USD,ACTIVE
MER-00013,SYN-MERCHANT-00013,FOOD,TH,SGD,ACTIVE
MER-00014,SYN-MERCHANT-00014,DIGITAL,US,USD,ACTIVE
MER-00015,SYN-MERCHANT-00015,FOOD,TH,SGD,ACTIVE
MER-00016,SYN-MERCHANT-00016,RETAIL,TH,USD,ACTIVE
MER-00017,SYN-MERCHANT-00017,TRAVEL,SG,SGD,ACTIVE
MER-00018,SYN-MERCHANT-00018,DIGITAL,TH,THB,ACTIVE
MER-00019,SYN-MERCHANT-00019,RETAIL,TH,USD,ACTIVE
MER-00020,SYN-MERCHANT-00020,DIGITAL,SG,THB,ACTIVE
MER-00021,SYN-MERCHANT-00021,DIGITAL,TH,SGD,ACTIVE
MER-00022,SYN-MERCHANT-00022,DIGITAL,TH,SGD,ACTIVE
MER-00023,SYN-MERCHANT-00023,TRAVEL,US,USD,ACTIVE
MER-00024,SYN-MERCHANT-00024,TRAVEL,TH,SGD,ACTIVE
MER-00025,SYN-MERCHANT-00025,RETAIL,US,SGD,ACTIVE
MER-00026,SYN-MERCHANT-00026,FOOD,US,USD,ACTIVE
MER-00027,SYN-MERCHANT-00027,DIGITAL,US,SGD,ACTIVE
MER-00028,SYN-MERCHANT-00028,TRAVEL,TH,USD,ACTIVE
MER-00029,SYN-MERCHANT-00029,RETAIL,TH,USD,ACTIVE
MER-00030,SYN-MERCHANT-00030,TRAVEL,TH,THB,ACTIVE
MER-00031,SYN-MERCHANT-00031,SERVICES,SG,THB,ACTIVE
MER-00032,SYN-MERCHANT-00032,SERVICES,TH,THB,ACTIVE
MER-00033,SYN-MERCHANT-00033,SERVICES,TH,THB,ACTIVE
MER-00034,SYN-MERCHANT-00034,FOOD,TH,THB,ACTIVE
MER-00035,SYN-MERCHANT-00035,TRAVEL,TH,SGD,ACTIVE
MER-00036,SYN-MERCHANT-00036,FOOD,SG,USD,ACTIVE
MER-00037,SYN-MERCHANT-00037,RETAIL,TH,USD,ACTIVE
MER-00038,SYN-MERCHANT-00038,TRAVEL,TH,SGD,ACTIVE
MER-00039,SYN-MERCHANT-00039,FOOD,TH,USD,ACTIVE
MER-00040,SYN-MERCHANT-00040,DIGITAL,TH,THB,ACTIVE
MER-00041,SYN-MERCHANT-00041,FOOD,TH,USD,ACTIVE
MER-00042,SYN-MERCHANT-00042,SERVICES,US,USD,ACTIVE
MER-00043,SYN-MERCHANT-00043,DIGITAL,TH,THB,ACTIVE
MER-00044,SYN-MERCHANT-00044,TRAVEL,TH,USD,ACTIVE
MER-00045,SYN-MERCHANT-00045,RETAIL,TH,SGD,ACTIVE
MER-00046,SYN-MERCHANT-00046,TRAVEL,US,SGD,ACTIVE
MER-00047,SYN-MERCHANT-00047,DIGITAL,SG,SGD,ACTIVE
MER-00048,SYN-MERCHANT-00048,TRAVEL,TH,THB,ACTIVE
MER-00049,SYN-MERCHANT-00049,SERVICES,TH,THB,ACTIVE
MER-00050,SYN-MERCHANT-00050,RETAIL,TH,USD,ACTIVE
MER-00051,SYN-MERCHANT-00051,TRAVEL,TH,USD,ACTIVE
MER-00052,SYN-MERCHANT-00052,TRAVEL,TH,USD,ACTIVE
MER-00053,SYN-MERCHANT-00053,TRAVEL,TH,SGD,ACTIVE
MER-00054,SYN-MERCHANT-00054,SERVICES,TH,USD,ACTIVE
MER-00055,SYN-MERCHANT-00055,SERVICES,TH,SGD,ACTIVE
MER-00056,SYN-MERCHANT-00056,FOOD,TH,THB,ACTIVE
