payment_event_id,transaction_id,event_sequence,event_type,status,currency,event_amount_minor,event_time
PEV-000000001,TXN-00000001,1,INITIATED,RECORDED,THB,3480,2026-01-04 07:45:18
PEV-000000002,TXN-00000001,2,AUTHORIZED,RECORDED,THB,3480,2026-01-04 07:46:03
PEV-000000003,TXN-00000001,3,CANCELLED,RECORDED,THB,3480,2026-01-04 07:46:48
PEV-000000004,TXN-00000002,1,INITIATED,RECORDED,USD,4938,2026-02-23 23:50:39
PEV-000000005,TXN-00000002,2,AUTHORIZED,RECORDED,USD,4938,2026-02-23 23:51:24
PEV-000000006,TXN-00000002,3,CANCELLED,RECORDED,USD,4938,2026-02-23 23:52:09
PEV-000000007,TXN-00000003,1,INITIATED,RECORDED,THB,847,2026-02-14 05:02:40
PEV-000000008,TXN-00000003,2,AUTHORIZED,RECORDED,THB,847,2026-02-14 05:03:25
PEV-000000009,TXN-00000003,3,CAPTURED,RECORDED,THB,847,2026-02-14 05:04:10
PEV-000000010,TXN-00000004,1,INITIATED,RECORDED,THB,5108,2026-02-21 09:42:03
PEV-000000011,TXN-00000004,2,AUTHORIZED,RECORDED,THB,5108,2026-02-21 09:42:48
PEV-000000012,TXN-00000005,1,INITIATED,RECORDED,THB,10673,2026-02-02 17:46:27
PEV-000000013,TXN-00000005,2,AUTHORIZED,RECORDED,THB,10673,2026-02-02 17:47:12
PEV-000000014,TXN-00000005,3,CAPTURED,RECORDED,THB,10673,2026-02-02 17:47:57
PEV-000000015,TXN-00000006,1,INITIATED,RECORDED,THB,4095,2026-02-12 23:35:15
PEV-000000016,TXN-00000006,2,AUTHORIZED,RECORDED,THB,4095,2026-02-12 23:36:00
PEV-000000017,TXN-00000007,1,INITIATED,RECORDED,THB,10560,2026-02-03 23:59:27
PEV-000000018,TXN-00000007,2,DECLINED,RECORDED,THB,10560,2026-02-04 00:00:12
PEV-000000019,TXN-00000008,1,INITIATED,RECORDED,SGD,5872,2026-02-03 01:30:04
PEV-000000020,TXN-00000008,2,AUTHORIZED,RECORDED,SGD,5872,2026-02-03 01:30:49
PEV-000000021,TXN-00000008,3,CAPTURED,RECORDED,SGD,5872,2026-02-03 01:31:34
PEV-000000022,TXN-00000009,1,INITIATED,RECORDED,USD,5227,2026-02-14 08:08:36
PEV-000000023,TXN-00000009,2,AUTHORIZED,RECORDED,USD,5227,2026-02-14 08:09:21
PEV-000000024,TXN-00000009,3,CAPTURED,RECORDED,USD,5227,2026-02-14 08:10:06
PEV-000000025,TXN-00000010,1,INITIATED,RECORDED,USD,6397,2026-01-22 03:15:39
PEV-000000026,TXN-00000010,2,AUTHORIZED,RECORDED,USD,6397,2026-01-22 03:16:24
PEV-000000027,TXN-00000010,3,CAPTURED,RECORDED,USD,6397,2026-01-22 03:17:09
PEV-000000028,TXN-00000011,1,INITIATED,RECORDED,THB,30114,2026-01-31 06:08:30
PEV-000000029,TXN-00000011,2,AUTHORIZED,RECORDED,THB,30114,2026-01-31 06:09:15
PEV-000000030,TXN-00000011,3,CAPTURED,RECORDED,THB,30114,2026-01-31 06:10:00
PEV-000000031,TXN-00000012,1,INITIATED,RECORDED,USD,26937,2026-01-14 18:07:32
PEV-000000032,TXN-00000012,2,AUTHORIZED,RECORDED,USD,26937,2026-01-14 18:08:17
PEV-000000033,TXN-00000012,3,CAPTURED,RECORDED,USD,26937,2026-01-14 18:09:02
PEV-000000034,TXN-00000013,1,INITIATED,RECORDED,SGD,2227,2026-02-09 10:47:38
PEV-000000035,TXN-00000013,2,AUTHORIZED,RECORDED,SGD,2227,2026-02-09 10:48:23
PEV-000000036,TXN-00000013,3,CAPTURED,RECORDED,SGD,2227,2026-02-09 10:49:08
PEV-000000037,TXN-00000014,1,INITIATED,RECORDED,THB,5376,2026-01-12 05:57:13
PEV-000000038,TXN-00000014,2,AUTHORIZED,RECORDED,THB,5376,2026-01-12 05:57:58
PEV-000000039,TXN-00000014,3,CAPTURED,RECORDED,THB,5376,2026-01-12 05:58:43
PEV-000000040,TXN-00000015,1,INITIATED,RECORDED,USD,1692,2026-02-27 05:58:56
PEV-000000041,TXN-00000015,2,AUTHORIZED,RECORDED,USD,1692,2026-02-27 05:59:41
PEV-000000042,TXN-00000015,3,CAPTURED,RECORDED,USD,1692,2026-02-27 06:00:26
PEV-000000043,TXN-00000016,1,INITIATED,RECORDED,SGD,6408,2026-01-29 08:20:33
PEV-000000044,TXN-00000016,2,AUTHORIZED,RECORDED,SGD,6408,2026-01-29 08:21:18
PEV-000000045,TXN-00000016,3,CAPTURED,RECORDED,SGD,6408,2026-01-29 08:22:03
PEV-000000046,TXN-00000017,1,INITIATED,RECORDED,SGD,763,2026-01-12 08:07:54
PEV-000000047,TXN-00000017,2,AUTHORIZED,RECORDED,SGD,763,2026-01-12 08:08:39
PEV-000000048,TXN-00000017,3,CAPTURED,RECORDED,SGD,763,2026-01-12 08:09:24
PEV-000000049,TXN-00000018,1,INITIATED,RECORDED,THB,4566,2026-01-12 15:43:56
PEV-000000050,TXN-00000018,2,AUTHORIZED,RECORDED,THB,4566,2026-01-12 15:44:41
PEV-000000051,TXN-00000018,3,CAPTURED,RECORDED,THB,4566,2026-01-12 15:45:26
PEV-000000052,TXN-00000019,1,INITIATED,RECORDED,SGD,18680,2026-01-22 11:32:51
PEV-000000053,TXN-00000019,2,DECLINED,RECORDED,SGD,18680,2026-01-22 11:33:36
PEV-000000054,TXN-00000020,1,INITIATED,RECORDED,THB,3380,2026-02-24 04:13:40
PEV-000000055,TXN-00000020,2,AUTHORIZED,RECORDED,THB,3380,2026-02-24 04:14:25
PEV-000000056,TXN-00000020,3,CAPTURED,RECORDED,THB,3380,2026-02-24 04:15:10
PEV-000000057,TXN-00000021,1,INITIATED,RECORDED,SGD,3756,2026-02-18 11:14:26
PEV-000000058,TXN-00000021,2,AUTHORIZED,RECORDED,SGD,3756,2026-02-18 11:15:11
PEV-000000059,TXN-00000021,3,CAPTURED,RECORDED,SGD,3756,2026-02-18 11:15:56
PEV-000000060,TXN-00000022,1,INITIATED,RECORDED,USD,5072,2026-02-06 15:52:19
PEV-000000061,TXN-00000022,2,AUTHORIZED,RECORDED,USD,5072,2026-02-06 15:53:04
PEV-000000062,TXN-00000022,3,CAPTURED,RECORDED,USD,5072,2026-02-06 15:53:49
PEV-000000063,TXN-00000023,1,INITIATED,RECORDED,USD,1395,2026-02-02 18:30:21
PEV-000000064,TXN-00000023,2,AUTHORIZED,RECORDED,USD,1395,2026-02-02 18:31:06
PEV-000000065,TXN-00000023,3,CAPTURED,RECORDED,USD,1395,2026-02-02 18:31:51
PEV-000000066,TXN-00000024,1,INITIATED,RECORDED,THB,14738,2026-01-03 05:25:16
PEV-000000067,TXN-00000024,2,AUTHORIZED,RECORDED,THB,14738,2026-01-03 05:26:01
PEV-000000068,TXN-00000024,3,CAPTURED,RECORDED,THB,14738,2026-01-03 05:26:46
PEV-000000069,TXN-00000025,1,INITIATED,RECORDED,USD,6206,2026-02-26 05:36:13
PEV-000000070,TXN-00000025,2,AUTHORIZED,RECORDED,USD,6206,2026-02-26 05:36:58
PEV-000000071,TXN-00000025,3,CAPTURED,RECORDED,USD,6206,2026-02-26 05:37:43
PEV-000000072,TXN-00000026,1,INITIATED,RECORDED,SGD,9185,2026-02-10 05:00:15
PEV-000000073,TXN-00000026,2,AUTHORIZED,RECORDED,SGD,9185,2026-02-10 05:01:00
PEV-000000074,TXN-00000026,3,CAPTURED,RECORDED,SGD,9185,2026-02-10 05:01:45
PEV-000000075,TXN-00000027,1,INITIATED,RECORDED,SGD,1549,2026-03-01 16:02:11
PEV-000000076,TXN-00000027,2,AUTHORIZED,RECORDED,SGD,1549,2026-03-01 16:02:56
PEV-000000077,TXN-00000028,1,INITIATED,RECORDED,USD,24653,2026-02-22 04:58:15
PEV-000000078,TXN-00000028,2,AUTHORIZED,RECORDED,USD,24653,2026-02-22 04:59:00
PEV-000000079,TXN-00000028,3,CAPTURED,RECORDED,USD,24653,2026-02-22 04:59:45
PEV-000000080,TXN-00000029,1,INITIATED,RECORDED,USD,9647,2026-01-01 12:32:20
