refund_id,transaction_id,currency,refund_amount_minor,status,requested_at,completed_at
RFD-0000001,TXN-00001172,USD,5407,COMPLETED,2026-03-02 23:02:43,2026-03-02 23:12:43
RFD-0000002,TXN-00002143,SGD,11142,COMPLETED,2026-02-21 23:26:22,2026-02-21 23:36:22
RFD-0000003,TXN-00001705,USD,395,COMPLETED,2026-02-24 06:22:44,2026-02-24 06:32:44
RFD-0000004,TXN-00004373,THB,5429,COMPLETED,2026-01-28 15:16:08,2026-01-28 15:26:08
RFD-0000005,TXN-00000514,SGD,1323,COMPLETED,2026-02-07 07:36:26,2026-02-07 07:46:26
RFD-0000006,TXN-00001304,USD,207,COMPLETED,2026-01-16 05:13:01,2026-01-16 05:23:01
RFD-0000007,TXN-00003260,SGD,14143,COMPLETED,2026-01-24 12:38:25,2026-01-24 12:48:25
RFD-0000008,TXN-00003572,USD,869,COMPLETED,2026-02-16 09:07:13,2026-02-16 09:17:13
RFD-0000009,TXN-00001757,USD,13679,COMPLETED,2026-01-22 18:55:26,2026-01-22 19:05:26
RFD-0000010,TXN-00000138,SGD,1775,COMPLETED,2026-02-03 08:10:05,2026-02-03 08:20:05
RFD-0000011,TXN-00004271,SGD,1426,COMPLETED,2026-02-21 05:36:37,2026-02-21 05:46:37
RFD-0000012,TXN-00004764,USD,2370,COMPLETED,2026-01-26 03:54:08,2026-01-26 04:04:08
RFD-0000013,TXN-00004485,USD,9054,COMPLETED,2026-02-04 05:22:23,2026-02-04 05:32:23
RFD-0000014,TXN-00004618,SGD,11154,COMPLETED,2026-02-07 21:22:39,2026-02-07 21:32:39
RFD-0000015,TXN-00003745,THB,5224,COMPLETED,2026-02-21 15:31:17,2026-02-21 15:41:17
RFD-0000016,TXN-00003976,SGD,681,COMPLETED,2026-01-28 01:04:36,2026-01-28 01:14:36
RFD-0000017,TXN-00002289,SGD,1414,COMPLETED,2026-01-18 00:11:29,2026-01-18 00:21:29
RFD-0000018,TXN-00000106,THB,949,COMPLETED,2026-01-21 21:49:14,2026-01-21 21:59:14
RFD-0000019,TXN-00003959,THB,2024,COMPLETED,2026-01-15 11:01:36,2026-01-15 11:11:36
RFD-0000020,TXN-00004443,THB,21739,COMPLETED,2026-01-18 22:19:39,2026-01-18 22:29:39
RFD-0000021,TXN-00003291,USD,4779,COMPLETED,2026-01-13 20:14:17,2026-01-13 20:24:17
RFD-0000022,TXN-00002416,THB,10252,COMPLETED,2026-01-20 21:05:06,2026-01-20 21:15:06
RFD-0000023,TXN-00001928,THB,965,COMPLETED,2026-01-15 21:48:47,2026-01-15 21:58:47
RFD-0000024,TXN-00002637,SGD,796,COMPLETED,2026-01-13 05:53:50,2026-01-13 06:03:50
