reversal_id,transaction_id,currency,reversal_amount_minor,reason_code,status,created_at
REV-0000001,TXN-00004397,USD,685,DUPLICATE_RECOVERY,COMPLETED,2026-01-20 17:05:14
REV-0000002,TXN-00001659,SGD,6013,POST_AUTH_REVERSAL,COMPLETED,2026-02-02 03:27:38
REV-0000003,TXN-00002853,THB,7894,POST_AUTH_REVERSAL,COMPLETED,2026-01-14 23:07:23
REV-0000004,TXN-00002189,USD,8059,POST_AUTH_REVERSAL,COMPLETED,2026-01-29 08:14:34
REV-0000005,TXN-00001453,THB,2115,POST_AUTH_REVERSAL,COMPLETED,2026-01-22 08:21:31
REV-0000006,TXN-00004737,USD,4452,NETWORK_RECOVERY,COMPLETED,2026-01-08 02:59:29
REV-0000007,TXN-00000381,USD,14706,DUPLICATE_RECOVERY,COMPLETED,2026-02-17 23:46:47
REV-0000008,TXN-00004857,USD,2696,DUPLICATE_RECOVERY,COMPLETED,2026-01-17 12:25:48
REV-0000009,TXN-00000739,USD,17218,POST_AUTH_REVERSAL,COMPLETED,2026-02-15 06:54:07
REV-0000010,TXN-00004626,THB,54499,POST_AUTH_REVERSAL,COMPLETED,2026-01-15 01:46:02
REV-0000011,TXN-00004992,THB,4673,DUPLICATE_RECOVERY,COMPLETED,2026-02-20 23:30:42
REV-0000012,TXN-00003839,SGD,11744,DUPLICATE_RECOVERY,COMPLETED,2026-02-07 22:10:38
REV-0000013,TXN-00001459,USD,8811,POST_AUTH_REVERSAL,COMPLETED,2026-02-08 18:55:49
REV-0000014,TXN-00001813,SGD,5954,POST_AUTH_REVERSAL,COMPLETED,2026-01-15 08:51:32
REV-0000015,TXN-00002542,THB,949,DUPLICATE_RECOVERY,COMPLETED,2026-01-22 01:04:54
REV-0000016,TXN-00002876,SGD,1438,DUPLICATE_RECOVERY,COMPLETED,2026-02-26 06:25:57
REV-0000017,TXN-00000855,SGD,5862,POST_AUTH_REVERSAL,COMPLETED,2026-02-07 01:49:42
REV-0000018,TXN-00004966,THB,886,NETWORK_RECOVERY,COMPLETED,2026-03-04 00:27:49
REV-0000019,TXN-00000391,SGD,2724,NETWORK_RECOVERY,COMPLETED,2026-02-07 19:53:02
REV-0000020,TXN-00004823,USD,3043,DUPLICATE_RECOVERY,COMPLETED,2026-02-20 12:08:01
REV-0000021,TXN-00001527,USD,13486,DUPLICATE_RECOVERY,COMPLETED,2026-03-01 14:46:55
REV-0000022,TXN-00001881,THB,704,NETWORK_RECOVERY,COMPLETED,2026-02-20 12:58:22
