settlement_batch_id,settlement_date,currency,batch_status,item_count,gross_amount_minor,refund_amount_minor,reversal_amount_minor,net_amount_minor
STB-000001,2026-01-03,SGD,SETTLED,29,137709,21124,0,116585
STB-000002,2026-01-03,THB,SETTLED,18,202487,3361,0,199126
STB-000003,2026-01-03,USD,SETTLED,27,229334,0,0,229334
STB-000004,2026-01-04,SGD,SETTLED,24,243326,2284,10500,230542
STB-000005,2026-01-04,THB,SETTLED,23,169401,1825,0,167576
STB-000006,2026-01-04,USD,SETTLED,28,195663,4205,0,191458
STB-000007,2026-01-05,SGD,SETTLED,32,423789,17886,0,405903
STB-000008,2026-01-05,THB,SETTLED,13,138453,7507,0,130946
STB-000009,2026-01-05,USD,SETTLED,20,163727,0,0,163727
STB-000010,2026-01-06,SGD,SETTLED,30,217365,3265,0,214100
STB-000011,2026-01-06,THB,SETTLED,15,115048,783,0,114265
STB-000012,2026-01-06,USD,SETTLED,19,119169,15866,0,103303
STB-000013,2026-01-07,SGD,SETTLED,22,123259,1831,6482,114946
STB-000014,2026-01-07,THB,SETTLED,26,218953,639,1555,216759
STB-000015,2026-01-07,USD,SETTLED,18,110447,1240,0,109207
STB-000016,2026-01-08,SGD,SETTLED,27,170638,0,3668,166970
STB-000017,2026-01-08,THB,SETTLED,20,184764,0,0,184764
STB-000018,2026-01-08,USD,SETTLED,25,166506,0,12743,153763
STB-000019,2026-01-09,SGD,SETTLED,18,62970,1106,0,61864
STB-000020,2026-01-09,THB,SETTLED,25,186270,10014,3532,172724
STB-000021,2026-01-09,USD,SETTLED,19,198303,395,0,197908
STB-000022,2026-01-10,SGD,SETTLED,27,182960,796,2120,180044
STB-000023,2026-01-10,THB,SETTLED,25,284152,3713,3503,276936
STB-000024,2026-01-10,USD,SETTLED,21,197746,4779,0,192967
STB-000025,2026-01-11,SGD,SETTLED,27,224431,14606,36750,173075
STB-000026,2026-01-11,THB,SETTLED,23,177851,10022,0,167829
STB-000027,2026-01-11,USD,SETTLED,25,133288,0,11576,121712
STB-000028,2026-01-12,SGD,SETTLED,21,128469,2061,1547,124861
STB-000029,2026-01-12,THB,SETTLED,21,110139,965,27102,82072
STB-000030,2026-01-12,USD,SETTLED,20,173189,5209,5610,162370
STB-000031,2026-01-13,SGD,SETTLED,22,240262,0,11396,228866
STB-000032,2026-01-13,THB,SETTLED,18,216305,561,0,215744
STB-000033,2026-01-13,USD,SETTLED,18,142223,25946,0,116277
STB-000034,2026-01-14,SGD,SETTLED,22,150350,14403,0,135947
STB-000035,2026-01-14,THB,SETTLED,23,141103,2880,8616,129607
STB-000036,2026-01-14,USD,SETTLED,19,126129,21620,0,104509
STB-000037,2026-01-15,SGD,SETTLED,18,159332,0,2446,156886
STB-000038,2026-01-15,THB,SETTLED,24,156665,5452,10321,140892
STB-000039,2026-01-15,USD,SETTLED,22,100156,3510,0,96646
STB-000040,2026-01-16,SGD,SETTLED,25,137887,8701,2811,126375
STB-000041,2026-01-16,THB,SETTLED,17,170845,0,54499,116346
STB-000042,2026-01-16,USD,SETTLED,20,163415,2012,5204,156199
STB-000043,2026-01-17,SGD,SETTLED,16,186745,4872,0,181873
STB-000044,2026-01-17,THB,SETTLED,22,155241,10413,0,144828
STB-000045,2026-01-17,USD,SETTLED,16,128696,0,0,128696
STB-000046,2026-01-18,SGD,SETTLED,31,137924,9068,7698,121158
STB-000047,2026-01-18,THB,SETTLED,29,366425,43315,7883,315227
STB-000048,2026-01-18,USD,SETTLED,23,224252,1423,3381,219448
STB-000049,2026-01-19,SGD,SETTLED,20,154256,3549,0,150707
STB-000050,2026-01-19,THB,SETTLED,17,78885,2112,0,76773
STB-000051,2026-01-19,USD,SETTLED,21,106856,1505,0,105351
STB-000052,2026-01-20,SGD,SETTLED,28,152836,11126,0,141710
STB-000053,2026-01-20,THB,SETTLED,21,186510,0,2308,184202
