settlement_item_id,settlement_batch_id,transaction_id,settlement_date,currency,gross_amount_minor,refund_amount_minor,reversal_amount_minor,net_amount_minor,status
STI-000000001,STB-000134,TXN-00000003,2026-02-16,THB,847,0,0,847,SETTLED
STI-000000002,STB-000098,TXN-00000005,2026-02-04,THB,10673,0,0,10673,SETTLED
STI-000000003,STB-000100,TXN-00000008,2026-02-05,SGD,5872,0,0,5872,SETTLED
STI-000000004,STB-000135,TXN-00000009,2026-02-16,USD,5227,0,0,5227,SETTLED
STI-000000005,STB-000066,TXN-00000010,2026-01-24,USD,6397,0,0,6397,SETTLED
STI-000000006,STB-000092,TXN-00000011,2026-02-02,THB,30114,0,0,30114,SETTLED
STI-000000007,STB-000042,TXN-00000012,2026-01-16,USD,26937,0,0,26937,SETTLED
STI-000000008,STB-000118,TXN-00000013,2026-02-11,SGD,2227,0,2227,0,SETTLED
STI-000000009,STB-000035,TXN-00000014,2026-01-14,THB,5376,0,0,5376,SETTLED
STI-000000010,STB-000174,TXN-00000015,2026-03-01,USD,1692,0,0,1692,SETTLED
STI-000000011,STB-000085,TXN-00000016,2026-01-31,SGD,6408,0,0,6408,SETTLED
STI-000000012,STB-000034,TXN-00000017,2026-01-14,SGD,763,0,0,763,SETTLED
STI-000000013,STB-000035,TXN-00000018,2026-01-14,THB,4566,0,0,4566,SETTLED
STI-000000014,STB-000164,TXN-00000020,2026-02-26,THB,3380,0,0,3380,SETTLED
STI-000000015,STB-000145,TXN-00000021,2026-02-20,SGD,3756,0,0,3756,SETTLED
STI-000000016,STB-000111,TXN-00000022,2026-02-08,USD,5072,0,0,5072,SETTLED
STI-000000017,STB-000099,TXN-00000023,2026-02-04,USD,1395,0,0,1395,SETTLED
STI-000000018,STB-000008,TXN-00000024,2026-01-05,THB,14738,7237,0,7501,SETTLED
STI-000000019,STB-000171,TXN-00000025,2026-02-28,USD,6206,0,0,6206,SETTLED
STI-000000020,STB-000121,TXN-00000026,2026-02-12,SGD,9185,0,0,9185,SETTLED
STI-000000021,STB-000159,TXN-00000028,2026-02-24,USD,24653,0,0,24653,SETTLED
STI-000000022,STB-000003,TXN-00000029,2026-01-03,USD,9647,0,0,9647,SETTLED
STI-000000023,STB-000055,TXN-00000030,2026-01-21,SGD,6655,3960,0,2695,SETTLED
STI-000000024,STB-000033,TXN-00000031,2026-01-13,USD,6876,0,0,6876,SETTLED
STI-000000025,STB-000122,TXN-00000034,2026-02-12,THB,12590,0,0,12590,SETTLED
STI-000000026,STB-000121,TXN-00000035,2026-02-12,SGD,11817,0,0,11817,SETTLED
STI-000000027,STB-000019,TXN-00000036,2026-01-09,SGD,2635,0,0,2635,SETTLED
STI-000000028,STB-000130,TXN-00000037,2026-02-15,SGD,806,0,0,806,SETTLED
STI-000000029,STB-000166,TXN-00000038,2026-02-27,SGD,6248,0,0,6248,SETTLED
STI-000000030,STB-000095,TXN-00000040,2026-02-03,THB,4716,0,0,4716,SETTLED
STI-000000031,STB-000138,TXN-00000041,2026-02-17,USD,1773,0,0,1773,SETTLED
STI-000000032,STB-000052,TXN-00000042,2026-01-20,SGD,14645,0,0,14645,SETTLED
STI-000000033,STB-000017,TXN-00000043,2026-01-08,THB,3180,0,0,3180,SETTLED
STI-000000034,STB-000006,TXN-00000044,2026-01-04,USD,13464,0,0,13464,SETTLED
STI-000000035,STB-000171,TXN-00000045,2026-02-28,USD,2346,0,0,2346,SETTLED
STI-000000036,STB-000082,TXN-00000047,2026-01-30,SGD,1572,1150,0,422,SETTLED
STI-000000037,STB-000114,TXN-00000048,2026-02-09,USD,5937,0,0,5937,SETTLED
STI-000000038,STB-000096,TXN-00000049,2026-02-03,USD,11463,0,0,11463,SETTLED
STI-000000039,STB-000163,TXN-00000050,2026-02-26,SGD,2600,1746,0,854,SETTLED
STI-000000040,STB-000106,TXN-00000051,2026-02-07,SGD,4507,2058,0,2449,SETTLED
STI-000000041,STB-000152,TXN-00000052,2026-02-22,THB,5923,0,0,5923,SETTLED
STI-000000042,STB-000009,TXN-00000053,2026-01-05,USD,10262,0,0,10262,SETTLED
STI-000000043,STB-000025,TXN-00000054,2026-01-11,SGD,960,372,0,588,SETTLED
STI-000000044,STB-000063,TXN-00000055,2026-01-23,USD,1853,0,0,1853,SETTLED
STI-000000045,STB-000098,TXN-00000056,2026-02-04,THB,6906,0,0,6906,SETTLED
STI-000000046,STB-000102,TXN-00000057,2026-02-05,USD,1761,0,1761,0,SETTLED
STI-000000047,STB-000009,TXN-00000058,2026-01-05,USD,4627,0,0,4627,SETTLED
STI-000000048,STB-000056,TXN-00000060,2026-01-21,THB,3264,0,0,3264,SETTLED
STI-000000049,STB-000054,TXN-00000061,2026-01-20,USD,5062,0,0,5062,SETTLED
STI-000000050,STB-000096,TXN-00000062,2026-02-03,USD,6966,0,0,6966,SETTLED
STI-000000051,STB-000039,TXN-00000063,2026-01-15,USD,4212,0,0,4212,SETTLED
STI-000000052,STB-000092,TXN-00000064,2026-02-02,THB,444,0,0,444,SETTLED
STI-000000053,STB-000025,TXN-00000065,2026-01-11,SGD,22667,0,0,22667,SETTLED
STI-000000054,STB-000144,TXN-00000066,2026-02-19,USD,1402,0,0,1402,SETTLED
STI-000000055,STB-000169,TXN-00000067,2026-02-28,SGD,1613,0,0,1613,SETTLED
STI-000000056,STB-000116,TXN-00000069,2026-02-10,THB,15440,0,0,15440,SETTLED
STI-000000057,STB-000158,TXN-00000070,2026-02-24,THB,2155,0,0,2155,SETTLED
STI-000000058,STB-000180,TXN-00000071,2026-03-03,USD,22074,0,0,22074,SETTLED
STI-000000059,STB-000147,TXN-00000072,2026-02-20,USD,4655,4326,0,329,SETTLED
STI-000000060,STB-000101,TXN-00000073,2026-02-05,THB,4118,0,0,4118,SETTLED
STI-000000061,STB-000115,TXN-00000074,2026-02-10,SGD,3788,0,0,3788,SETTLED
STI-000000062,STB-000129,TXN-00000075,2026-02-14,USD,4641,0,0,4641,SETTLED
STI-000000063,STB-000142,TXN-00000076,2026-02-19,SGD,776,0,0,776,SETTLED
STI-000000064,STB-000114,TXN-00000077,2026-02-09,USD,12339,0,0,12339,SETTLED
STI-000000065,STB-000018,TXN-00000078,2026-01-08,USD,15075,0,0,15075,SETTLED
STI-000000066,STB-000034,TXN-00000079,2026-01-14,SGD,2927,0,0,2927,SETTLED
STI-000000067,STB-000134,TXN-00000080,2026-02-16,THB,3371,902,0,2469,SETTLED
STI-000000068,STB-000125,TXN-00000083,2026-02-13,THB,2634,0,0,2634,SETTLED
STI-000000069,STB-000092,TXN-00000084,2026-02-02,THB,1022,0,0,1022,SETTLED
STI-000000070,STB-000057,TXN-00000086,2026-01-21,USD,1152,0,0,1152,SETTLED
STI-000000071,STB-000154,TXN-00000087,2026-02-23,SGD,9834,0,0,9834,SETTLED
STI-000000072,STB-000121,TXN-00000090,2026-02-12,SGD,3193,0,0,3193,SETTLED
STI-000000073,STB-000180,TXN-00000091,2026-03-03,USD,5742,0,0,5742,SETTLED
STI-000000074,STB-000014,TXN-00000092,2026-01-07,THB,3596,0,0,3596,SETTLED
STI-000000075,STB-000173,TXN-00000094,2026-03-01,THB,4619,0,0,4619,SETTLED
STI-000000076,STB-000148,TXN-00000095,2026-02-21,SGD,12339,0,0,12339,SETTLED
STI-000000077,STB-000119,TXN-00000096,2026-02-11,THB,2600,0,0,2600,SETTLED
STI-000000078,STB-000038,TXN-00000098,2026-01-15,THB,3438,1850,0,1588,SETTLED
STI-000000079,STB-000027,TXN-00000100,2026-01-11,USD,2756,0,0,2756,SETTLED
STI-000000080,STB-000104,TXN-00000101,2026-02-06,THB,4312,0,0,4312,SETTLED
STI-000000081,STB-000117,TXN-00000102,2026-02-10,USD,4636,0,0,4636,SETTLED
STI-000000082,STB-000104,TXN-00000104,2026-02-06,THB,8343,0,0,8343,SETTLED
STI-000000083,STB-000075,TXN-00000105,2026-01-27,USD,3583,0,0,3583,SETTLED
STI-000000084,STB-000047,TXN-00000106,2026-01-18,THB,3021,949,0,2072,SETTLED
STI-000000085,STB-000087,TXN-00000107,2026-01-31,USD,4855,0,0,4855,SETTLED
STI-000000086,STB-000051,TXN-00000108,2026-01-19,USD,18036,0,0,18036,SETTLED
STI-000000087,STB-000062,TXN-00000109,2026-01-23,THB,6981,0,6981,0,SETTLED
STI-000000088,STB-000078,TXN-00000110,2026-01-28,USD,8144,0,0,8144,SETTLED
STI-000000089,STB-000074,TXN-00000111,2026-01-27,THB,1694,0,0,1694,SETTLED
STI-000000090,STB-000023,TXN-00000113,2026-01-10,THB,16034,0,0,16034,SETTLED
STI-000000091,STB-000006,TXN-00000114,2026-01-04,USD,13328,0,0,13328,SETTLED
STI-000000092,STB-000070,TXN-00000115,2026-01-26,SGD,2748,0,0,2748,SETTLED
STI-000000093,STB-000003,TXN-00000116,2026-01-03,USD,1168,0,0,1168,SETTLED
STI-000000094,STB-000042,TXN-00000117,2026-01-16,USD,7414,0,0,7414,SETTLED
STI-000000095,STB-000053,TXN-00000118,2026-01-20,THB,41826,0,0,41826,SETTLED
STI-000000096,STB-000032,TXN-00000119,2026-01-13,THB,2346,0,0,2346,SETTLED
STI-000000097,STB-000125,TXN-00000120,2026-02-13,THB,2132,0,0,2132,SETTLED
STI-000000098,STB-000117,TXN-00000121,2026-02-10,USD,1144,0,0,1144,SETTLED
STI-000000099,STB-000005,TXN-00000122,2026-01-04,THB,2998,0,0,2998,SETTLED
STI-000000100,STB-000157,TXN-00000123,2026-02-24,SGD,1048,0,0,1048,SETTLED
STI-000000101,STB-000163,TXN-00000124,2026-02-26,SGD,1632,0,0,1632,SETTLED
STI-000000102,STB-000096,TXN-00000125,2026-02-03,USD,6669,0,0,6669,SETTLED
STI-000000103,STB-000011,TXN-00000128,2026-01-06,THB,2894,0,0,2894,SETTLED
STI-000000104,STB-000158,TXN-00000129,2026-02-24,THB,7532,0,0,7532,SETTLED
STI-000000105,STB-000005,TXN-00000130,2026-01-04,THB,8310,0,0,8310,SETTLED
STI-000000106,STB-000080,TXN-00000131,2026-01-29,THB,9752,0,0,9752,SETTLED
STI-000000107,STB-000154,TXN-00000132,2026-02-23,SGD,14886,0,0,14886,SETTLED
STI-000000108,STB-000169,TXN-00000135,2026-02-28,SGD,4507,0,0,4507,SETTLED
STI-000000109,STB-000141,TXN-00000136,2026-02-18,USD,6644,0,0,6644,SETTLED
STI-000000110,STB-000057,TXN-00000137,2026-01-21,USD,1932,0,0,1932,SETTLED
STI-000000111,STB-000088,TXN-00000138,2026-02-01,SGD,5484,1775,0,3709,SETTLED
STI-000000112,STB-000037,TXN-00000140,2026-01-15,SGD,18796,0,0,18796,SETTLED
STI-000000113,STB-000023,TXN-00000141,2026-01-10,THB,31601,0,0,31601,SETTLED
STI-000000114,STB-000089,TXN-00000142,2026-02-01,THB,3068,0,0,3068,SETTLED
STI-000000115,STB-000069,TXN-00000143,2026-01-25,USD,9430,0,0,9430,SETTLED
STI-000000116,STB-000141,TXN-00000144,2026-02-18,USD,2999,0,0,2999,SETTLED
STI-000000117,STB-000016,TXN-00000148,2026-01-08,SGD,7083,0,0,7083,SETTLED
STI-000000118,STB-000116,TXN-00000149,2026-02-10,THB,5986,0,0,5986,SETTLED
STI-000000119,STB-000048,TXN-00000150,2026-01-18,USD,20607,0,0,20607,SETTLED
STI-000000120,STB-000063,TXN-00000151,2026-01-23,USD,8349,0,0,8349,SETTLED
STI-000000121,STB-000091,TXN-00000152,2026-02-02,SGD,2836,0,0,2836,SETTLED
STI-000000122,STB-000179,TXN-00000153,2026-03-03,THB,3075,0,0,3075,SETTLED
STI-000000123,STB-000175,TXN-00000154,2026-03-02,SGD,585,0,0,585,SETTLED
STI-000000124,STB-000047,TXN-00000155,2026-01-18,THB,4069,0,0,4069,SETTLED
STI-000000125,STB-000107,TXN-00000157,2026-02-07,THB,1955,0,0,1955,SETTLED
STI-000000126,STB-000106,TXN-00000158,2026-02-07,SGD,2434,0,0,2434,SETTLED
STI-000000127,STB-000042,TXN-00000160,2026-01-16,USD,13651,0,0,13651,SETTLED
STI-000000128,STB-000046,TXN-00000161,2026-01-18,SGD,5705,0,0,5705,SETTLED
STI-000000129,STB-000179,TXN-00000162,2026-03-03,THB,2784,0,0,2784,SETTLED
STI-000000130,STB-000116,TXN-00000163,2026-02-10,THB,30805,0,0,30805,SETTLED
STI-000000131,STB-000006,TXN-00000165,2026-01-04,USD,3100,0,0,3100,SETTLED
STI-000000132,STB-000010,TXN-00000166,2026-01-06,SGD,1234,0,0,1234,SETTLED
STI-000000133,STB-000061,TXN-00000167,2026-01-23,SGD,7665,0,0,7665,SETTLED
STI-000000134,STB-000164,TXN-00000168,2026-02-26,THB,3598,0,0,3598,SETTLED
STI-000000135,STB-000163,TXN-00000170,2026-02-26,SGD,6586,0,0,6586,SETTLED
STI-000000136,STB-000113,TXN-00000172,2026-02-09,THB,1997,1608,0,389,SETTLED
STI-000000137,STB-000075,TXN-00000173,2026-01-27,USD,3081,0,0,3081,SETTLED
STI-000000138,STB-000063,TXN-00000174,2026-01-23,USD,30946,0,0,30946,SETTLED
STI-000000139,STB-000079,TXN-00000175,2026-01-29,SGD,3658,0,0,3658,SETTLED
STI-000000140,STB-000077,TXN-00000177,2026-01-28,THB,2276,0,0,2276,SETTLED
STI-000000141,STB-000086,TXN-00000178,2026-01-31,THB,4449,0,0,4449,SETTLED
STI-000000142,STB-000144,TXN-00000179,2026-02-19,USD,3360,0,0,3360,SETTLED
STI-000000143,STB-000056,TXN-00000180,2026-01-21,THB,1931,0,0,1931,SETTLED
STI-000000144,STB-000132,TXN-00000181,2026-02-15,USD,3190,0,0,3190,SETTLED
STI-000000145,STB-000006,TXN-00000182,2026-01-04,USD,5915,3416,0,2499,SETTLED
STI-000000146,STB-000175,TXN-00000183,2026-03-02,SGD,15413,0,0,15413,SETTLED
STI-000000147,STB-000065,TXN-00000184,2026-01-24,THB,1983,867,0,1116,SETTLED
