transaction_id,account_id,merchant_id,idempotency_key,currency,transaction_amount_minor,status,initiated_at,completed_at
TXN-00000001,ACC-000152,MER-00072,IDEMP-00000001,THB,3480,CANCELLED,2026-01-04 07:45:18,2026-01-04 07:54:16
TXN-00000002,ACC-000181,MER-00043,IDEMP-00000002,USD,4938,CANCELLED,2026-02-23 23:50:39,2026-02-23 23:56:05
TXN-00000003,ACC-000157,MER-00052,IDEMP-00000003,THB,847,COMPLETED,2026-02-14 05:02:40,2026-02-14 05:04:18
TXN-00000004,ACC-000091,MER-00037,IDEMP-00000004,THB,5108,PENDING,2026-02-21 09:42:03,
TXN-00000005,ACC-000360,MER-00008,IDEMP-00000005,THB,10673,COMPLETED,2026-02-02 17:46:27,2026-02-02 17:52:16
TXN-00000006,ACC-000072,MER-00010,IDEMP-00000006,THB,4095,PENDING,2026-02-12 23:35:15,
TXN-00000007,ACC-000215,MER-00026,IDEMP-00000007,THB,10560,DECLINED,2026-02-03 23:59:27,2026-02-03 23:59:40
TXN-00000008,ACC-000137,MER-00048,IDEMP-00000008,SGD,5872,COMPLETED,2026-02-03 01:30:04,2026-02-03 01:39:35
TXN-00000009,ACC-000181,MER-00031,IDEMP-00000009,USD,5227,COMPLETED,2026-02-14 08:08:36,2026-02-14 08:11:47
TXN-00000010,ACC-000327,MER-00064,IDEMP-00000010,USD,6397,COMPLETED,2026-01-22 03:15:39,2026-01-22 03:19:23
TXN-00000011,ACC-000368,MER-00041,IDEMP-00000011,THB,30114,COMPLETED,2026-01-31 06:08:30,2026-01-31 06:09:54
TXN-00000012,ACC-000169,MER-00058,IDEMP-00000012,USD,26937,COMPLETED,2026-01-14 18:07:32,2026-01-14 18:16:41
TXN-00000013,ACC-000097,MER-00069,IDEMP-00000013,SGD,2227,COMPLETED,2026-02-09 10:47:38,2026-02-09 10:57:20
TXN-00000014,ACC-000168,MER-00064,IDEMP-00000014,THB,5376,COMPLETED,2026-01-12 05:57:13,2026-01-12 06:01:27
TXN-00000015,ACC-000076,MER-00079,IDEMP-00000015,USD,1692,COMPLETED,2026-02-27 05:58:56,2026-02-27 06:00:56
TXN-00000016,ACC-000105,MER-00042,IDEMP-00000016,SGD,6408,COMPLETED,2026-01-29 08:20:33,2026-01-29 08:28:49
TXN-00000017,ACC-000252,MER-00077,IDEMP-00000017,SGD,763,COMPLETED,2026-01-12 08:07:54,2026-01-12 08:14:17
TXN-00000018,ACC-000246,MER-00025,IDEMP-00000018,THB,4566,COMPLETED,2026-01-12 15:43:56,2026-01-12 15:47:09
TXN-00000019,ACC-000174,MER-00015,IDEMP-00000019,SGD,18680,DECLINED,2026-01-22 11:32:51,2026-01-22 11:34:18
TXN-00000020,ACC-000215,MER-00069,IDEMP-00000020,THB,3380,COMPLETED,2026-02-24 04:13:40,2026-02-24 04:18:37
TXN-00000021,ACC-000268,MER-00070,IDEMP-00000021,SGD,3756,COMPLETED,2026-02-18 11:14:26,2026-02-18 11:15:40
TXN-00000022,ACC-000181,MER-00009,IDEMP-00000022,USD,5072,COMPLETED,2026-02-06 15:52:19,2026-02-06 16:00:24
TXN-00000023,ACC-000423,MER-00055,IDEMP-00000023,USD,1395,COMPLETED,2026-02-02 18:30:21,2026-02-02 18:34:26
TXN-00000024,ACC-000091,MER-00060,IDEMP-00000024,THB,14738,COMPLETED,2026-01-03 05:25:16,2026-01-03 05:25:43
TXN-00000025,ACC-000349,MER-00054,IDEMP-00000025,USD,6206,COMPLETED,2026-02-26 05:36:13,2026-02-26 05:40:29
TXN-00000026,ACC-000075,MER-00069,IDEMP-00000026,SGD,9185,COMPLETED,2026-02-10 05:00:15,2026-02-10 05:05:14
TXN-00000027,ACC-000442,MER-00031,IDEMP-00000027,SGD,1549,PENDING,2026-03-01 16:02:11,
TXN-00000028,ACC-000371,MER-00048,IDEMP-00000028,USD,24653,COMPLETED,2026-02-22 04:58:15,2026-02-22 05:03:30
TXN-00000029,ACC-000110,MER-00019,IDEMP-00000029,USD,9647,COMPLETED,2026-01-01 12:32:20,2026-01-01 12:38:00
TXN-00000030,ACC-000404,MER-00070,IDEMP-00000030,SGD,6655,COMPLETED,2026-01-19 16:58:25,2026-01-19 17:02:28
TXN-00000031,ACC-000409,MER-00016,IDEMP-00000031,USD,6876,COMPLETED,2026-01-11 05:46:40,2026-01-11 05:56:27
TXN-00000032,ACC-000431,MER-00044,IDEMP-00000032,SGD,3410,CANCELLED,2026-02-10 21:37:44,2026-02-10 21:47:22
TXN-00000033,ACC-000131,MER-00002,IDEMP-00000033,SGD,2249,CANCELLED,2026-01-12 13:55:33,2026-01-12 14:05:29
TXN-00000034,ACC-000005,MER-00060,IDEMP-00000034,THB,12590,COMPLETED,2026-02-10 22:15:07,2026-02-10 22:16:36
TXN-00000035,ACC-000130,MER-00066,IDEMP-00000035,SGD,11817,COMPLETED,2026-02-10 18:54:12,2026-02-10 18:56:13
TXN-00000036,ACC-000308,MER-00052,IDEMP-00000036,SGD,2635,COMPLETED,2026-01-07 13:21:30,2026-01-07 13:25:48
TXN-00000037,ACC-000105,MER-00072,IDEMP-00000037,SGD,806,COMPLETED,2026-02-13 12:40:06,2026-02-13 12:49:27
TXN-00000038,ACC-000447,MER-00012,IDEMP-00000038,SGD,6248,COMPLETED,2026-02-25 12:00:41,2026-02-25 12:01:39
TXN-00000039,ACC-000196,MER-00015,IDEMP-00000039,THB,2742,PENDING,2026-02-10 13:39:24,
TXN-00000040,ACC-000204,MER-00059,IDEMP-00000040,THB,4716,COMPLETED,2026-02-01 06:15:47,2026-02-01 06:17:44
TXN-00000041,ACC-000054,MER-00040,IDEMP-00000041,USD,1773,COMPLETED,2026-02-15 02:47:24,2026-02-15 02:53:06
TXN-00000042,ACC-000407,MER-00018,IDEMP-00000042,SGD,14645,COMPLETED,2026-01-18 00:31:07,2026-01-18 00:35:57
TXN-00000043,ACC-000020,MER-00005,IDEMP-00000043,THB,3180,COMPLETED,2026-01-06 02:10:36,2026-01-06 02:14:41
TXN-00000044,ACC-000267,MER-00054,IDEMP-00000044,USD,13464,COMPLETED,2026-01-02 19:22:02,2026-01-02 19:30:06
TXN-00000045,ACC-000193,MER-00048,IDEMP-00000045,USD,2346,COMPLETED,2026-02-26 21:33:09,2026-02-26 21:36:28
TXN-00000046,ACC-000309,MER-00020,IDEMP-00000046,SGD,2739,CANCELLED,2026-01-15 22:19:24,2026-01-15 22:21:26
TXN-00000047,ACC-000232,MER-00080,IDEMP-00000047,SGD,1572,COMPLETED,2026-01-28 16:01:28,2026-01-28 16:06:34
TXN-00000048,ACC-000081,MER-00059,IDEMP-00000048,USD,5937,COMPLETED,2026-02-07 06:26:41,2026-02-07 06:33:01
TXN-00000049,ACC-000280,MER-00041,IDEMP-00000049,USD,11463,COMPLETED,2026-02-01 15:37:36,2026-02-01 15:43:17
TXN-00000050,ACC-000043,MER-00012,IDEMP-00000050,SGD,2600,COMPLETED,2026-02-24 10:05:38,2026-02-24 10:12:19
TXN-00000051,ACC-000132,MER-00016,IDEMP-00000051,SGD,4507,COMPLETED,2026-02-05 03:24:30,2026-02-05 03:24:58
TXN-00000052,ACC-000149,MER-00004,IDEMP-00000052,THB,5923,COMPLETED,2026-02-20 13:03:01,2026-02-20 13:03:17
TXN-00000053,ACC-000386,MER-00035,IDEMP-00000053,USD,10262,COMPLETED,2026-01-03 08:02:30,2026-01-03 08:09:55
TXN-00000054,ACC-000373,MER-00027,IDEMP-00000054,SGD,960,COMPLETED,2026-01-09 15:48:50,2026-01-09 15:56:17
TXN-00000055,ACC-000068,MER-00004,IDEMP-00000055,USD,1853,COMPLETED,2026-01-21 13:04:21,2026-01-21 13:10:18
TXN-00000056,ACC-000261,MER-00075,IDEMP-00000056,THB,6906,COMPLETED,2026-02-02 17:37:17,2026-02-02 17:38:30
TXN-00000057,ACC-000175,MER-00033,IDEMP-00000057,USD,1761,COMPLETED,2026-02-03 22:42:25,2026-02-03 22:44:00
TXN-00000058,ACC-000386,MER-00067,IDEMP-00000058,USD,4627,COMPLETED,2026-01-03 14:23:16,2026-01-03 14:24:14
TXN-00000059,ACC-000175,MER-00057,IDEMP-00000059,USD,22571,PENDING,2026-01-11 17:46:36,
TXN-00000060,ACC-000186,MER-00044,IDEMP-00000060,THB,3264,COMPLETED,2026-01-19 14:58:46,2026-01-19 15:04:49
TXN-00000061,ACC-000221,MER-00048,IDEMP-00000061,USD,5062,COMPLETED,2026-01-18 06:17:54,2026-01-18 06:21:46
TXN-00000062,ACC-000260,MER-00050,IDEMP-00000062,USD,6966,COMPLETED,2026-02-01 18:08:07,2026-02-01 18:15:17
TXN-00000063,ACC-000161,MER-00006,IDEMP-00000063,USD,4212,COMPLETED,2026-01-13 11:41:43,2026-01-13 11:51:06
TXN-00000064,ACC-000359,MER-00040,IDEMP-00000064,THB,444,COMPLETED,2026-01-31 17:12:26,2026-01-31 17:12:58
TXN-00000065,ACC-000285,MER-00044,IDEMP-00000065,SGD,22667,COMPLETED,2026-01-09 20:15:16,2026-01-09 20:24:31
TXN-00000066,ACC-000068,MER-00022,IDEMP-00000066,USD,1402,COMPLETED,2026-02-17 08:30:51,2026-02-17 08:33:50
TXN-00000067,ACC-000171,MER-00003,IDEMP-00000067,SGD,1613,COMPLETED,2026-02-26 06:49:05,2026-02-26 06:55:27
TXN-00000068,ACC-000292,MER-00017,IDEMP-00000068,THB,4250,DECLINED,2026-01-20 03:15:24,2026-01-20 03:17:03
TXN-00000069,ACC-000300,MER-00049,IDEMP-00000069,THB,15440,COMPLETED,2026-02-08 08:39:16,2026-02-08 08:45:55
TXN-00000070,ACC-000152,MER-00079,IDEMP-00000070,THB,2155,COMPLETED,2026-02-22 08:47:43,2026-02-22 08:53:10
TXN-00000071,ACC-000274,MER-00035,IDEMP-00000071,USD,22074,COMPLETED,2026-03-01 13:28:26,2026-03-01 13:32:00
TXN-00000072,ACC-000039,MER-00076,IDEMP-00000072,USD,4655,COMPLETED,2026-02-18 20:35:04,2026-02-18 20:39:35
TXN-00000073,ACC-000422,MER-00005,IDEMP-00000073,THB,4118,COMPLETED,2026-02-03 16:42:01,2026-02-03 16:49:20
TXN-00000074,ACC-000058,MER-00066,IDEMP-00000074,SGD,3788,COMPLETED,2026-02-08 03:14:19,2026-02-08 03:15:03
TXN-00000075,ACC-000317,MER-00075,IDEMP-00000075,USD,4641,COMPLETED,2026-02-12 20:26:10,2026-02-12 20:28:42
TXN-00000076,ACC-000271,MER-00068,IDEMP-00000076,SGD,776,COMPLETED,2026-02-17 14:52:18,2026-02-17 15:00:16
TXN-00000077,ACC-000208,MER-00024,IDEMP-00000077,USD,12339,COMPLETED,2026-02-07 01:13:35,2026-02-07 01:17:22
TXN-00000078,ACC-000349,MER-00024,IDEMP-00000078,USD,15075,COMPLETED,2026-01-06 20:19:46,2026-01-06 20:25:02
TXN-00000079,ACC-000206,MER-00065,IDEMP-00000079,SGD,2927,COMPLETED,2026-01-12 19:58:59,2026-01-12 20:02:00
TXN-00000080,ACC-000005,MER-00011,IDEMP-00000080,THB,3371,COMPLETED,2026-02-14 19:33:38,2026-02-14 19:42:14
TXN-00000081,ACC-000053,MER-00080,IDEMP-00000081,THB,1902,CANCELLED,2026-01-16 07:10:14,2026-01-16 07:18:34
TXN-00000082,ACC-000372,MER-00073,IDEMP-00000082,SGD,10843,DECLINED,2026-02-06 05:34:36,2026-02-06 05:35:09
