date,ad_spend,sku_orders,cost_per_order,gross_revenue,roi,currency
2025-08-13,5981.81,52,115.03,21832.83,3.6499,THB
2025-08-14,0.0,1,0.0,0.0,0.0,THB
2025-08-15,0.0,1,0.0,0.0,0.0,THB
2025-08-16,0.0,1,0.0,0.0,0.0,THB
2025-08-17,0.0,1,0.0,0.0,0.0,THB
2025-08-18,0.0,1,0.0,0.0,0.0,THB
2025-08-19,0.0,1,0.0,0.0,0.0,THB
2025-08-20,0.0,1,0.0,0.0,0.0,THB
2025-08-21,0.0,1,0.0,0.0,0.0,THB
2025-08-22,0.0,1,0.0,0.0,0.0,THB
2025-08-23,0.0,1,0.0,0.0,0.0,THB
2025-08-24,0.0,1,0.0,0.0,0.0,THB
2025-08-25,0.0,1,0.0,0.0,0.0,THB
2025-08-26,0.0,1,0.0,0.0,0.0,THB
2025-08-27,0.0,1,0.0,0.0,0.0,THB
2025-08-28,0.0,1,0.0,0.0,0.0,THB
2025-08-29,0.0,1,0.0,0.0,0.0,THB
2025-08-30,0.0,1,0.0,0.0,0.0,THB
2025-08-31,0.0,1,0.0,0.0,0.0,THB
2025-09-01,0.0,1,0.0,0.0,0.0,THB
2025-09-02,0.0,1,0.0,0.0,0.0,THB
2025-09-03,4155.5,41,101.35,14405.59,3.4666,THB
2025-09-04,0.0,1,0.0,0.0,0.0,THB
2025-09-05,0.0,1,0.0,0.0,0.0,THB
2025-09-06,0.0,1,0.0,0.0,0.0,THB
2025-09-07,0.0,1,0.0,0.0,0.0,THB
2025-09-08,0.0,1,0.0,0.0,0.0,THB
2025-09-09,2275.08,17,133.83,6890.47,3.0287,THB
2025-09-10,0.0,1,0.0,0.0,0.0,THB
2025-09-11,0.0,1,0.0,0.0,0.0,THB
2025-09-12,0.0,1,0.0,0.0,0.0,THB
2025-09-13,0.0,1,0.0,0.0,0.0,THB
2025-09-14,0.0,1,0.0,0.0,0.0,THB
2025-09-15,0.0,1,0.0,0.0,0.0,THB
2025-09-16,0.0,1,0.0,0.0,0.0,THB
2025-09-17,0.0,1,0.0,0.0,0.0,THB
2025-09-18,0.0,1,0.0,0.0,0.0,THB
2025-09-19,0.0,1,0.0,0.0,0.0,THB
2025-09-20,0.0,1,0.0,0.0,0.0,THB
2025-09-21,0.0,1,0.0,0.0,0.0,THB
2025-09-22,4838.01,52,93.04,17353.46,3.5869,THB
2025-09-23,0.0,1,0.0,0.0,0.0,THB
2025-09-24,2719.08,22,123.59,8570.93,3.1521,THB
2025-09-25,0.0,1,0.0,0.0,0.0,THB
2025-09-26,0.0,1,0.0,0.0,0.0,THB
2025-09-27,0.0,1,0.0,0.0,0.0,THB
2025-09-28,0.0,1,0.0,0.0,0.0,THB
2025-09-29,4383.74,45,97.42,15380.15,3.5085,THB
2025-09-30,0.0,1,0.0,0.0,0.0,THB
2025-10-01,0.0,1,0.0,0.0,0.0,THB
2025-10-02,0.0,1,0.0,0.0,0.0,THB
2025-10-03,0.0,1,0.0,0.0,0.0,THB
2025-10-04,0.0,1,0.0,0.0,0.0,THB
2025-10-05,0.0,1,0.0,0.0,0.0,THB
2025-10-06,0.0,1,0.0,0.0,0.0,THB
2025-10-07,0.0,1,0.0,0.0,0.0,THB
2025-10-08,0.0,1,0.0,0.0,0.0,THB
2025-10-09,0.0,1,0.0,0.0,0.0,THB
2025-10-10,0.0,1,0.0,0.0,0.0,THB
2025-10-11,4268.26,43,99.26,14885.6,3.4875,THB
2025-10-12,0.0,1,0.0,0.0,0.0,THB
2025-10-13,0.0,1,0.0,0.0,0.0,THB
2025-10-14,0.0,1,0.0,0.0,0.0,THB
2025-10-15,0.0,1,0.0,0.0,0.0,THB
2025-10-16,0.0,1,0.0,0.0,0.0,THB
2025-10-17,0.0,1,0.0,0.0,0.0,THB
2025-10-18,0.0,1,0.0,0.0,0.0,THB
2025-10-19,0.0,1,0.0,0.0,0.0,THB
2025-10-20,4861.96,52,93.5,17458.73,3.5909,THB
2025-10-21,0.0,1,0.0,0.0,0.0,THB
2025-10-22,0.0,1,0.0,0.0,0.0,THB
2025-10-23,0.0,1,0.0,0.0,0.0,THB
2025-10-24,0.0,1,0.0,0.0,0.0,THB
2025-10-25,0.0,1,0.0,0.0,0.0,THB
2025-10-26,2811.48,23,122.24,8928.83,3.1758,THB
2025-10-27,1859.57,12,154.96,5383.18,2.8949,THB
2025-10-28,0.0,1,0.0,0.0,0.0,THB
2025-10-29,3611.65,33,109.44,12132.54,3.3593,THB
2025-10-30,0.0,1,0.0,0.0,0.0,THB
2025-10-31,0.0,1,0.0,0.0,0.0,THB
2025-11-01,0.0,1,0.0,0.0,0.0,THB
2025-11-02,0.0,1,0.0,0.0,0.0,THB
2025-11-03,3676.92,34,108.14,12401.54,3.3728,THB
2025-11-04,0.0,1,0.0,0.0,0.0,THB
2025-11-05,0.0,1,0.0,0.0,0.0,THB
2025-11-06,0.0,1,0.0,0.0,0.0,THB
2025-11-07,0.0,1,0.0,0.0,0.0,THB
2025-11-08,0.0,1,0.0,0.0,0.0,THB
2025-11-09,5736.74,52,110.32,21378.8,3.7266,THB
2025-11-10,0.0,1,0.0,0.0,0.0,THB
2025-11-11,2544.26,20,127.21,7901.28,3.1055,THB
2025-11-12,2898.02,24,120.75,9266.41,3.1975,THB
2025-11-13,0.0,1,0.0,0.0,0.0,THB
2025-11-14,0.0,1,0.0,0.0,0.0,THB
2025-11-15,0.0,1,0.0,0.0,0.0,THB
2025-11-16,0.0,1,0.0,0.0,0.0,THB
2025-11-17,0.0,1,0.0,0.0,0.0,THB
2025-11-18,0.0,1,0.0,0.0,0.0,THB
2025-11-19,0.0,1,0.0,0.0,0.0,THB
2025-11-20,0.0,1,0.0,0.0,0.0,THB
2025-11-21,0.0,1,0.0,0.0,0.0,THB
2025-11-22,0.0,1,0.0,0.0,0.0,THB
2025-11-23,0.0,1,0.0,0.0,0.0,THB
2025-11-24,0.0,1,0.0,0.0,0.0,THB
2025-11-25,0.0,1,0.0,0.0,0.0,THB
2025-11-26,0.0,1,0.0,0.0,0.0,THB
2025-11-27,0.0,1,0.0,0.0,0.0,THB
2025-11-28,1897.06,12,158.09,5516.3,2.9078,THB
2025-11-29,0.0,1,0.0,0.0,0.0,THB
2025-11-30,0.0,1,0.0,0.0,0.0,THB
2025-12-01,0.0,1,0.0,0.0,0.0,THB
2025-12-02,0.0,1,0.0,0.0,0.0,THB
2025-12-03,0.0,1,0.0,0.0,0.0,THB
2025-12-04,4517.97,47,96.13,15958.65,3.5323,THB
