payment_id,creator_token,payment_amount,post_date,settlement_account_token,payment_cycle,payment_status,payment_type,source_reference_token
PAY-0000001,CRT-00052,7085.93,2026-04-23,SYNBANK-582873,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000001
PAY-0000002,CRT-00088,4248.47,2026-06-27,SYNBANK-999019,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000002
PAY-0000003,CRT-00070,0.0,2026-05-27,SYNBANK-794947,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000003
PAY-0000004,CRT-00041,0.0,2026-04-05,SYNBANK-464953,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000004
PAY-0000005,CRT-00008,1646.92,2026-02-05,SYNBANK-088684,MONTH_END,PAID,LIVE_HOST,SRCREF-0000005
PAY-0000006,CRT-00010,0.0,2026-02-08,SYNBANK-103417,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000006
PAY-0000007,CRT-00077,0.0,2026-06-08,SYNBANK-873867,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000007
PAY-0000008,CRT-00024,0.0,2026-03-05,SYNBANK-266255,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000008
PAY-0000009,CRT-00074,1207.48,2026-06-02,SYNBANK-836715,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000009
PAY-0000010,CRT-00067,0.0,2026-05-21,SYNBANK-761242,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000010
PAY-0000011,CRT-00002,1596.97,2026-01-24,SYNBANK-011658,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000011
PAY-0000012,CRT-00013,0.0,2026-02-13,SYNBANK-136900,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000012
PAY-0000013,CRT-00041,6536.3,2026-04-04,SYNBANK-458263,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000013
PAY-0000014,CRT-00022,682.0,2026-03-02,SYNBANK-247870,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000014
PAY-0000015,CRT-00075,682.0,2026-06-03,SYNBANK-842567,MONTH_END,PAID,LIVE_HOST,SRCREF-0000015
PAY-0000016,CRT-00005,1894.66,2026-01-30,SYNBANK-050926,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000016
PAY-0000017,CRT-00034,2365.47,2026-03-22,SYNBANK-376162,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000017
PAY-0000018,CRT-00050,1792.02,2026-04-21,SYNBANK-567524,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000018
PAY-0000019,CRT-00056,753.99,2026-05-01,SYNBANK-628410,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000019
PAY-0000020,CRT-00005,1727.99,2026-01-30,SYNBANK-049627,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000020
PAY-0000021,CRT-00016,2032.53,2026-02-19,SYNBANK-176218,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000021
PAY-0000022,CRT-00037,2803.59,2026-03-28,SYNBANK-413661,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000022
PAY-0000023,CRT-00048,1819.63,2026-04-16,SYNBANK-536943,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000023
PAY-0000024,CRT-00025,2763.26,2026-03-07,SYNBANK-276451,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000024
PAY-0000025,CRT-00005,0.0,2026-01-30,SYNBANK-049056,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000025
PAY-0000026,CRT-00052,0.0,2026-04-24,SYNBANK-587301,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000026
