creator_token,follower_count,engagement_rate,synthetic_budget,historical_sales_band,audience_gender_segment,audience_age_segment,pet_segment
CRT-00001,391205,0.0,2590.0,HIGH,MALE_SKEW,35_44,MIXED
CRT-00002,160759,0.0,2590.0,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00003,1050,0.0,773.0,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00004,9444,0.0,1315.66,LOW,MALE_SKEW,25_34,CAT
CRT-00005,17835,0.0,1605.28,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00006,9407,0.0,1314.05,LOW,FEMALE_SKEW,18_24,DOG
CRT-00007,1231,0.0,773.0,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00008,63534,0.0,2388.87,LOW,FEMALE_SKEW,25_34,CAT
CRT-00009,8682,0.0,1281.45,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00010,27468,0.0,1837.58,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00011,16605,0.0,1569.79,LOW,FEMALE_SKEW,18_24,DOG
CRT-00012,21177,0.0,1693.92,LOW,FEMALE_SKEW,18_24,DOG
CRT-00013,391205,0.0,2590.0,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00014,1380,0.0,773.0,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00015,1050,0.0,773.0,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00016,24686,0.0,1777.17,LOW,FEMALE_SKEW,18_24,DOG
CRT-00017,41311,0.0,2087.87,LOW,MALE_SKEW,25_34,CAT
CRT-00018,21694,0.0,1706.75,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00019,2913,0.0,910.46,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00020,19938,0.0,1662.26,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00021,29055,0.0,1870.15,LOW,FEMALE_SKEW,18_24,DOG
CRT-00022,61277,0.0,2361.99,HIGH,MALE_SKEW,25_34,CAT
CRT-00023,22477,0.0,1725.8,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00024,59251,0.0,2337.27,LOW,FEMALE_SKEW,25_34,CAT
CRT-00025,15298,0.0,1530.04,LOW,FEMALE_SKEW,18_24,DOG
CRT-00026,24073,0.0,1763.24,LOW,MALE_SKEW,35_44,MIXED
CRT-00027,32494,0.0,1936.77,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00028,1746,0.0,775.67,HIGH,MALE_SKEW,35_44,MIXED
CRT-00029,4588,0.0,1049.55,LOW,MALE_SKEW,35_44,MIXED
CRT-00030,54895,0.0,2282.09,LOW,BALANCED,35_44,MIXED
CRT-00031,26899,0.0,1825.58,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00032,1260,0.0,773.0,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00033,1050,0.0,773.0,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00034,5369,0.0,1102.5,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00035,23327,0.0,1745.96,LOW,MALE_SKEW,35_44,MIXED
CRT-00036,8661,0.0,1280.52,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00037,23599,0.0,1752.3,LOW,BALANCED,35_44,MIXED
CRT-00038,40326,0.0,2072.15,LOW,MALE_SKEW,35_44,MIXED
CRT-00039,110626,0.0,2590.0,LOW,FEMALE_SKEW,25_34,CAT
CRT-00040,32614,0.0,1939.0,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00041,150441,0.0,2590.0,HIGH,MALE_SKEW,25_34,CAT
CRT-00042,15529,0.0,1537.22,HIGH,MALE_SKEW,25_34,CAT
CRT-00043,5005,0.0,1078.52,HIGH,MALE_SKEW,25_34,CAT
CRT-00044,5784,0.0,1128.5,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00045,11485,0.0,1398.75,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00046,4202,0.0,1021.09,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00047,1050,0.0,773.0,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00048,84033,0.0,2590.0,HIGH,MALE_SKEW,25_34,CAT
CRT-00049,4059,0.0,1010.07,HIGH,MALE_SKEW,35_44,MIXED
CRT-00050,2416,0.0,858.73,LOW,FEMALE_SKEW,18_24,DOG
CRT-00051,11793,0.0,1410.36,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00052,75900,0.0,2525.56,MEDIUM,FEMALE_SKEW,25_34,CAT
CRT-00053,84128,0.0,2590.0,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00054,50726,0.0,2226.38,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00055,22777,0.0,1732.98,LOW,MALE_SKEW,25_34,CAT
CRT-00056,14144,0.0,1492.95,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00057,3712,0.0,982.26,LOW,FEMALE_SKEW,18_24,DOG
CRT-00058,188045,0.0,2590.0,LOW,FEMALE_SKEW,25_34,CAT
CRT-00059,2729,0.0,892.12,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00060,71775,0.0,2481.79,HIGH,FEMALE_SKEW,18_24,DOG
CRT-00061,391205,0.0,2590.0,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00062,2929,0.0,912.04,MEDIUM,MALE_SKEW,35_44,MIXED
CRT-00063,9933,0.0,1336.6,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00064,120338,0.0,2590.0,LOW,BALANCED,35_44,MIXED
CRT-00065,2191,0.0,832.81,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00066,1107,0.0,773.0,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00067,22085,0.0,1716.32,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00068,36154,0.0,2002.54,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00069,154895,0.0,2590.0,HIGH,FEMALE_SKEW,18_24,DOG
CRT-00070,11718,0.0,1407.56,LOW,MALE_SKEW,25_34,CAT
CRT-00071,44130,0.0,2131.43,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00072,163463,0.0,2590.0,LOW,MALE_SKEW,35_44,MIXED
CRT-00073,27802,0.0,1844.53,LOW,MALE_SKEW,25_34,CAT
CRT-00074,22946,0.0,1736.99,MEDIUM,FEMALE_SKEW,18_24,DOG
CRT-00075,6097,0.0,1147.25,HIGH,MALE_SKEW,25_34,CAT
CRT-00076,1050,0.0,773.0,HIGH,MALE_SKEW,25_34,CAT
CRT-00077,37549,0.0,2026.4,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00078,26761,0.0,1822.63,HIGH,FEMALE_SKEW,18_24,DOG
CRT-00079,7391,0.0,1218.49,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00080,17250,0.0,1588.62,LOW,FEMALE_SKEW,18_24,DOG
CRT-00081,5676,0.0,1121.88,MEDIUM,MALE_SKEW,25_34,CAT
CRT-00082,2364,0.0,852.88,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00083,29747,0.0,1883.98,HIGH,FEMALE_SKEW,18_24,DOG
CRT-00084,2033,0.0,813.53,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00085,105746,0.0,2590.0,LOW,MALE_SKEW,25_34,CAT
CRT-00086,19154,0.0,1641.54,MEDIUM,BALANCED,45_PLUS,UNKNOWN
CRT-00087,391205,0.0,2590.0,LOW,BALANCED,45_PLUS,UNKNOWN
CRT-00088,94573,0.0,2590.0,MEDIUM,BALANCED,45_PLUS,UNKNOWN
