date,live_gmv,direct_live_gmv,indirect_live_gmv,display_gpm,live_streams,gmv_live_streams,attributed_units,direct_units,indirect_units,attributed_sku_orders,direct_sku_orders,indirect_sku_orders,customers,live_ctr,live_ctor,live_views,avg_watch_duration
2026-01-01,7316.78,6285.95,1030.83,196.54,19,3,32,29,3,22,24,3,23,0.199814,0.199814,19306,69.6
2026-01-02,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.098341,0.098341,12480,53.95
2026-01-03,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0.029649,0.029649,1833,17.26
2026-01-04,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.060588,0.060588,4403,29.21
2026-01-05,1172.97,1172.97,0.0,19.79,11,1,5,5,0,4,5,0,4,0.154636,0.154636,5562,33.55
2026-01-06,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.036011,0.036011,4397,29.18
2026-01-07,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.057095,0.057095,2082,18.65
2026-01-08,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0.019676,0.019676,8872,44.17
2026-01-09,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.117829,0.117829,4269,28.67
2026-01-10,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.019429,0.019429,6519,36.84
2026-01-11,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.088596,0.088596,5418,33.03
2026-01-12,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.062526,0.062526,5924,34.82
2026-01-13,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.121587,0.121587,18021,66.86
2026-01-14,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.12203,0.12203,2172,19.13
2026-01-15,164.93,164.93,0.0,1.57,5,0,1,1,0,1,1,0,1,0.145507,0.145507,1920,17.75
2026-01-16,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.085012,0.085012,6268,36.0
2026-01-17,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.091711,0.091711,7574,40.25
2026-01-18,0.0,0.0,0.0,22.95,11,0,6,0,0,4,0,0,0,0.133072,0.133072,5977,35.0
2026-01-19,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.116338,0.116338,2857,22.57
2026-01-20,1544.8,1264.88,279.92,21.54,11,1,5,5,1,4,5,1,4,0.162741,0.162741,5795,34.37
2026-01-21,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.087289,0.087289,6655,37.29
2026-01-22,3154.84,2703.62,451.22,49.69,15,2,12,9,2,9,11,2,9,0.190614,0.190614,8755,43.83
2026-01-23,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.11296,0.11296,6056,35.27
2026-01-24,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0.078813,0.078813,8647,43.51
2026-01-25,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.034279,0.034279,5257,32.44
2026-01-26,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.061377,0.061377,6210,35.8
2026-01-27,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.040748,0.040748,6934,38.21
2026-01-28,342.02,242.98,99.04,2.88,5,1,1,1,1,1,1,1,1,0.194612,0.194612,2367,20.15
2026-01-29,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.07162,0.07162,3377,24.94
2026-01-30,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.027698,0.027698,8408,42.8
2026-01-31,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.112675,0.112675,6469,36.68
2026-02-01,194.75,194.75,0.0,2.07,5,0,1,1,0,1,1,0,1,0.143711,0.143711,2100,18.75
2026-02-02,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.100083,0.100083,1904,17.67
2026-02-03,680.43,520.37,160.06,7.74,8,1,2,2,1,1,2,1,1,0.162194,0.162194,3578,25.81
2026-02-04,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.076211,0.076211,6139,35.56
2026-02-05,0.0,0.0,0.0,11.34,9,0,3,0,0,2,0,0,0,0.133008,0.133008,4265,28.66
2026-02-06,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.013019,0.013019,6165,35.65
2026-02-07,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.076328,0.076328,7507,40.04
2026-02-08,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,0.049272,0.049272,10878,49.78
2026-02-09,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.051708,0.051708,6943,38.24
2026-02-10,5624.22,4963.37,660.85,95.97,19,2,22,15,2,16,21,2,16,0.198984,0.198984,12179,53.19
2026-02-11,1319.75,1068.08,251.67,17.81,10,1,4,4,1,3,4,1,3,0.17674,0.17674,5286,32.55
2026-02-12,651.51,496.18,155.33,7.31,7,1,2,2,1,1,2,1,1,0.183568,0.183568,3486,25.42
2026-02-13,547.28,547.28,0.0,8.22,8,1,2,2,0,1,2,0,1,0.158723,0.158723,3677,26.24
2026-02-14,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.036196,0.036196,4731,30.48
2026-02-15,584.91,440.75,144.16,6.32,7,1,1,2,1,1,1,1,1,0.160745,0.160745,3269,24.46
2026-02-16,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0.104967,0.104967,1561,15.66
2026-02-17,3863.49,3347.47,516.02,62.68,16,2,15,11,2,11,14,2,11,0.187735,0.187735,9832,46.92
2026-02-18,572.56,430.52,142.04,6.14,7,1,1,2,1,1,1,1,1,0.174669,0.174669,3228,24.27
2026-02-19,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.072448,0.072448,2668,21.65
2026-02-20,0.0,0.0,0.0,14.42,9,0,3,0,0,3,0,0,0,0.135504,0.135504,4777,30.66
2026-02-21,0.0,0.0,0.0,58.17,16,0,14,0,0,10,0,0,0,0.141004,0.141004,9471,45.9
2026-02-22,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,0.082682,0.082682,9836,46.93
2026-02-23,2795.61,2379.21,416.4,43.23,14,2,10,8,2,8,10,2,8,0.165214,0.165214,8167,42.07
2026-02-24,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.06888,0.06888,6085,35.38
2026-02-25,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.09114,0.09114,5108,31.9
2026-02-26,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.068059,0.068059,3124,23.8
2026-02-27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.010132,0.010132,0,0.0
2026-02-28,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.122974,0.122974,2790,22.24
2026-03-01,3491.42,3008.84,482.58,55.83,16,2,13,10,2,10,13,2,10,0.19462,0.19462,9279,45.35
2026-03-02,6285.95,6285.95,0.0,196.54,19,0,32,33,0,22,24,0,23,0.147122,0.147122,39517,105.53
2026-03-03,468.7,345.13,123.57,4.64,6,1,1,1,1,1,1,1,1,0.16511,0.16511,2863,22.59
2026-03-04,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.031979,0.031979,4485,29.53
2026-03-05,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0.052627,0.052627,11220,50.69
2026-03-06,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.114397,0.114397,2574,21.19
2026-03-07,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.096921,0.096921,2002,18.21
2026-03-08,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.027711,0.027711,6017,35.14
2026-03-09,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.079549,0.079549,7211,39.1
2026-03-10,5731.38,5062.29,669.09,98.03,19,2,23,15,2,17,21,2,17,0.180288,0.180288,12310,53.52
2026-03-11,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.020326,0.020326,4766,30.61
2026-03-12,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.051674,0.051674,7760,40.83
2026-03-13,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.059349,0.059349,12556,54.14
2026-03-14,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.072523,0.072523,6548,36.94
2026-03-15,1688.24,1391.07,297.17,23.94,11,1,6,5,1,4,6,1,4,0.168491,0.168491,6102,35.43
2026-03-16,736.14,567.16,168.98,8.58,8,1,2,2,1,1,2,1,1,0.182503,0.182503,3749,26.54
2026-03-17,226.93,137.13,89.8,0.84,4,1,1,1,1,1,1,1,1,0.182903,0.182903,1528,15.45
2026-03-18,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.067974,0.067974,7313,39.42
2026-03-19,1860.89,1543.63,317.26,26.87,12,1,7,6,1,5,6,1,5,0.197128,0.197128,6457,36.63
2026-03-20,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.111674,0.111674,4024,27.68
2026-03-21,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.062254,0.062254,5494,33.3
2026-03-22,704.26,540.36,163.9,8.1,8,1,2,2,1,1,2,1,1,0.161325,0.161325,3652,26.13
2026-03-23,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.059299,0.059299,2646,21.55
2026-03-24,1990.03,1658.17,331.86,29.08,12,1,7,6,1,5,7,1,5,0.187334,0.187334,6713,37.48
2026-03-25,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.093414,0.093414,2504,20.84
2026-03-26,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,0.045002,0.045002,10699,49.3
2026-03-27,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.104595,0.104595,5710,34.07
2026-03-28,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.033185,0.033185,25305,81.47
2026-03-29,4168.59,3626.0,542.59,68.35,17,2,16,12,2,12,15,2,12,0.162706,0.162706,10269,48.13
2026-03-30,7299.1,6285.95,1013.15,196.54,19,3,32,25,3,22,24,3,23,0.195716,0.195716,17630,66.01
2026-03-31,647.87,493.14,154.73,7.25,7,1,1,2,1,1,2,1,1,0.170261,0.170261,3475,25.37
2026-04-01,511.66,380.3,131.36,5.26,7,1,1,1,1,1,1,1,1,0.193643,0.193643,3018,23.32
2026-04-02,822.65,640.27,182.38,9.9,8,1,2,3,1,2,2,1,2,0.18902,0.18902,4004,27.6
2026-04-03,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.051026,0.051026,2411,20.38
2026-04-04,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.018882,0.018882,4871,31.01
2026-04-05,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.101428,0.101428,5418,33.03
2026-04-06,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,0.106433,0.106433,10347,48.34
2026-04-07,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.017345,0.017345,5423,33.05
2026-04-08,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.02668,0.02668,7611,40.36
2026-04-09,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.082233,0.082233,6029,35.18
2026-04-10,1377.28,1118.24,259.04,18.76,10,1,5,4,1,3,4,1,3,0.169344,0.169344,5419,33.03
