date,views,clicks,customers,sku_orders,product_card_gmv,checkout_cart_rate,viewers,add_to_cart_clicks,unique_clicks,cart_customers,click_to_cart_rate,view_to_click_rate,view_to_checkout_rate,click_to_checkout_rate,content_gmv
2026-06-01,3915,124,8,9,3959.44,0.199814,1834,15,78,11,0.199814,0.031673,0.199814,0.199814,2831.66
2026-06-02,3507,124,7,8,3240.7,0.098341,1818,15,75,10,0.098341,0.035358,0.098341,0.098341,2831.66
2026-06-03,1659,55,1,1,317.86,0.029649,903,2,36,2,0.029649,0.033153,0.029649,0.029649,397.18
2026-06-04,2336,88,3,3,918.88,0.060588,1244,5,50,4,0.060588,0.037671,0.060588,0.060588,1198.04
2026-06-05,2559,99,3,4,1219.18,0.154636,1354,7,55,5,0.154636,0.038687,0.154636,0.154636,1607.76
2026-06-06,2335,87,3,3,917.28,0.036011,1243,5,50,4,0.036011,0.037259,0.036011,0.036011,1195.87
2026-06-07,1744,59,1,2,371.07,0.057095,946,2,38,2,0.057095,0.03383,0.057095,0.057095,466.54
2026-06-08,3070,124,5,6,2144.89,0.019676,1606,11,66,8,0.019676,0.040391,0.019676,0.019676,0.0
2026-06-09,2308,86,2,3,885.11,0.117829,1230,5,50,4,0.117829,0.037262,0.117829,0.117829,1152.27
2026-06-10,2722,108,4,5,1477.34,0.019429,1435,8,59,6,0.019429,0.039677,0.019429,0.019429,0.0
2026-06-11,2533,98,3,4,1181.05,0.088596,1341,6,55,5,0.088596,0.038689,0.088596,0.088596,1555.49
2026-06-12,2623,102,3,5,1315.95,0.062526,1386,7,57,6,0.062526,0.038887,0.062526,0.062526,1740.74
2026-06-13,3915,124,8,9,3959.44,0.121587,1834,15,78,11,0.121587,0.031673,0.121587,0.121587,2831.66
2026-06-14,1773,60,1,2,390.44,0.12203,961,2,38,2,0.12203,0.033841,0.12203,0.12203,491.88
2026-06-15,1690,56,1,2,336.27,0.145507,919,2,36,2,0.145507,0.033136,0.145507,0.145507,421.13
2026-06-16,2681,106,4,5,1408.81,0.085012,1415,8,58,6,0.085012,0.039537,0.085012,0.085012,1868.69
2026-06-17,2886,117,4,6,1771.29,0.091711,1516,9,62,7,0.091711,0.040541,0.091711,0.091711,2371.28
2026-06-18,2632,103,4,5,1330.14,0.133072,1390,7,57,6,0.133072,0.039134,0.133072,0.133072,1760.27
2026-06-19,1973,70,2,2,544.45,0.116338,1062,3,43,3,0.116338,0.035479,0.116338,0.116338,695.1
2026-06-20,2600,101,3,4,1281.14,0.162741,1375,7,56,6,0.162741,0.038846,0.162741,0.162741,1692.85
2026-06-21,2744,109,4,5,1514.7,0.087289,1446,8,59,6,0.087289,0.039723,0.087289,0.087289,2015.02
2026-06-22,3054,124,5,6,2110.67,0.190614,1598,11,66,8,0.190614,0.040602,0.190614,0.190614,2831.66
2026-06-23,2645,104,4,5,1351.29,0.11296,1397,7,57,6,0.11296,0.039319,0.11296,0.11296,1789.39
2026-06-24,3040,124,5,6,2079.36,0.078813,1591,11,65,8,0.078813,0.040789,0.078813,0.078813,2801.76
2026-06-25,2503,96,3,4,1138.78,0.034279,1327,6,54,5,0.034279,0.038354,0.034279,0.034279,1497.62
2026-06-26,2671,105,4,5,1393.14,0.061377,1410,7,58,6,0.061377,0.039311,0.061377,0.061377,1847.08
2026-06-27,2789,111,4,5,1591.94,0.040748,1468,8,60,6,0.040748,0.039799,0.040748,0.040748,2122.03
2026-06-28,1834,63,1,2,433.52,0.194612,992,2,40,3,0.194612,0.034351,0.194612,0.194612,548.45
2026-06-29,2106,76,2,3,666.42,0.07162,1129,4,45,3,0.07162,0.036087,0.07162,0.07162,857.75
2026-06-30,3006,123,5,6,2009.94,0.027698,1574,10,65,7,0.027698,0.040918,0.027698,0.027698,0.0
