date,gmv,orders,customers,units_sold,refund_amount,sku_orders,revenue,page_views,visitors,conversion_rate,product_impressions,unique_product_impressions,product_clicks,unique_product_clicks,aov,live_creator_gmv,video_affiliate_gmv
2025-11-14,18449.75,53,50,59,1899.35,53,21902.72,1679,1064,0.099517,48654,24462,1728,1118,546.34,2236.47,13445.09
2025-11-15,18449.75,53,50,56,1602.26,53,21902.72,1141,734,0.081843,29935,15324,1135,750,500.97,0.0,13445.09
2025-11-16,902.99,3,4,4,121.32,3,1050.96,209,142,0.004153,3538,0,176,0,186.63,0.0,487.62
2025-11-17,3737.34,13,13,14,395.32,13,4316.73,454,302,0.039646,9387,5016,413,289,293.14,0.0,2490.64
2025-11-18,5457.43,18,18,19,541.22,18,6290.82,558,368,0.04911,12175,6443,519,358,330.6,0.0,3846.16
2025-11-19,3728.62,13,13,14,394.55,13,4306.71,453,301,0.039588,9372,0,413,0,292.92,0.0,2483.97
2025-11-20,1110.67,4,4,5,144.17,4,1291.22,234,159,0.009323,4079,2248,200,146,199.33,0.0,618.5
2025-11-21,11629.01,35,33,36,1013.42,35,13351.23,844,548,0.068023,20475,0,816,0,420.36,0.0,9164.24
2025-11-22,3554.6,12,12,13,379.21,12,4106.76,441,294,0.038393,9069,4852,401,281,288.51,0.0,2351.38
2025-11-23,7058.07,22,22,24,669.9,22,8124.8,642,422,0.05554,14529,0,605,0,358.73,0.0,5166.79
2025-11-24,5230.12,17,17,18,522.45,17,6030.16,545,360,0.048047,11825,6265,506,350,326.16,0.0,3662.87
2025-11-25,6045.19,20,19,21,589.14,20,6964.56,590,389,0.051667,13062,6895,551,380,341.52,0.0,4325.23
2025-11-26,18449.75,53,50,59,1899.35,53,21902.72,1579,1004,0.096727,45063,22721,1621,1050,546.34,0.0,13445.09
2025-11-27,1188.87,4,5,5,152.58,4,1381.62,242,165,0.011023,4274,2351,208,151,203.69,0.0,668.76
2025-11-28,973.62,4,4,4,129.19,4,1132.69,217,148,0.006034,3726,2060,185,135,191.16,0.0,531.67
2025-11-29,6623.12,21,21,22,635.48,21,7626.68,620,408,0.05395,13907,7324,582,400,351.56,0.0,4803.06
2025-11-30,8999.67,28,27,29,819.44,28,10346.52,733,479,0.061615,17169,8971,700,475,387.51,0.0,6828.81
2025-12-01,6132.64,20,20,21,596.2,20,7064.77,595,392,0.052026,13191,6960,556,383,343.08,0.0,4397.12
2025-12-02,1854.95,7,7,7,220.93,7,2150.54,309,208,0.022138,5801,3155,272,195,234.64,0.0,1114.54
2025-12-03,5832.0,19,19,20,571.86,19,6720.22,579,381,0.05077,12743,6733,540,372,337.64,0.0,4150.63
2025-12-04,7298.1,23,23,24,688.74,23,8399.61,654,429,0.056376,14866,7810,617,422,362.56,0.0,5368.94
2025-12-05,11381.17,34,32,35,995.48,34,13068.17,834,542,0.067485,20174,10479,805,542,417.49,804.33,8940.45
2025-12-06,6263.54,20,20,21,606.74,20,7214.75,602,396,0.052554,13384,7058,563,387,345.39,0.0,4505.0
2025-12-07,11155.61,33,32,35,979.1,33,12810.53,825,537,0.066984,19898,10341,796,536,414.85,0.0,8737.4
2025-12-08,4981.01,17,17,18,501.73,17,5744.42,531,351,0.046827,11435,0,491,0,321.15,0.0,3463.35
2025-12-09,6524.66,21,21,22,627.64,21,7513.9,615,405,0.053575,13765,7252,577,396,349.89,0.0,4721.2
2025-12-10,7800.76,24,24,26,727.84,24,8974.98,678,444,0.058041,15562,0,642,0,370.31,0.0,5795.46
2025-12-11,1367.54,5,5,6,171.44,5,1588.05,262,177,0.014521,4705,2579,226,164,212.96,147.66,785.4
2025-12-12,2431.2,9,9,9,276.62,9,2814.54,359,240,0.028899,6986,3774,319,227,255.7,0.0,1520.43
2025-12-13,10659.68,32,31,33,942.88,32,12243.98,805,524,0.065847,19286,0,774,0,408.9,0.0,8293.1
2025-12-14,6970.61,22,22,23,663.01,22,8024.65,638,419,0.055228,14405,7576,600,411,357.32,0.0,5093.37
2025-12-15,1126.29,4,5,5,145.86,4,1309.28,235,160,0.009672,4118,2268,201,147,200.22,0.0,628.5
2025-12-16,960.57,3,4,4,127.74,3,1117.6,216,147,0.005697,3692,2042,183,134,190.34,0.0,523.5
2025-12-17,2669.89,9,10,10,299.0,9,3089.32,377,253,0.03124,7450,4015,338,239,263.43,0.0,1692.98
2025-12-18,6403.5,21,20,22,617.96,21,7375.11,609,401,0.053107,13589,7162,571,392,347.82,0.0,4620.73
2025-12-19,3549.67,12,12,13,378.77,12,4101.09,441,294,0.038359,9060,4848,401,281,288.38,0.0,2347.63
2025-12-20,0.0,0,0,0,621.5,0,7425.88,611,402,0.053279,13653,0,573,0,348.58,0.0,0.0
2025-12-21,8871.21,27,26,29,809.73,27,10199.61,728,476,0.061256,17000,8886,694,471,385.75,0.0,6717.07
2025-12-22,16179.33,46,43,47,1332.44,46,18543.01,1010,653,0.076279,25690,13225,994,662,466.81,0.0,13387.11
2025-12-23,7817.9,25,24,26,729.17,25,8994.59,679,445,0.058096,15586,8173,643,439,370.57,0.0,5810.07
2025-12-24,18449.75,53,49,55,1550.67,53,21902.72,1117,719,0.080856,29133,14928,1109,734,494.73,1232.74,13445.09
2025-12-25,5025.6,17,17,18,505.45,17,5795.58,533,353,0.04705,11505,6101,494,342,322.06,0.0,3498.96
2025-12-26,2560.48,9,9,10,288.79,9,2963.38,369,247,0.030194,7239,3905,330,234,259.95,244.1,1613.59
2025-12-27,2790.94,10,10,11,310.22,10,3228.62,387,259,0.032348,7681,4135,347,245,267.17,0.0,1781.38
2025-12-28,4199.28,14,14,15,435.46,14,4847.28,484,321,0.042559,10169,0,443,0,304.2,0.0,2847.09
2025-12-29,2307.26,8,9,9,264.86,8,2671.8,348,234,0.027591,6739,3645,310,220,251.49,0.0,1431.79
2025-12-30,696.33,2,3,3,102.73,2,811.58,181,124,0.0,2960,1651,151,112,171.83,0.0,361.75
2025-12-31,13735.89,40,37,41,1163.38,40,15756.25,924,599,0.072186,22957,11868,901,603,443.17,934.64,11093.96
2026-01-01,2260.13,8,8,9,260.35,8,2617.52,345,231,0.027075,6644,3596,306,218,249.84,0.0,1398.27
2026-01-02,1659.56,6,6,7,201.4,6,1925.16,291,197,0.019357,5374,2931,254,183,226.48,0.0,980.84
2026-01-03,4265.86,14,15,15,441.18,14,4923.72,488,323,0.042953,10280,5474,447,312,305.72,0.0,2898.96
2026-01-04,12928.02,38,36,39,1106.38,38,14834.3,894,580,0.070671,22020,11401,869,583,434.73,0.0,10348.45
2026-01-05,13745.11,40,37,41,1164.03,40,15766.76,924,599,0.072203,22967,11873,901,603,443.27,0.0,11102.5
2026-01-06,10169.94,31,29,32,906.83,31,11684.36,784,511,0.064671,18673,9727,753,509,402.84,0.0,7857.35
2026-01-07,6313.23,20,20,21,610.72,20,7271.69,604,398,0.052752,13457,7095,566,389,346.25,0.0,4546.05
2026-01-08,4753.71,16,16,17,482.66,16,5483.65,517,342,0.045659,11074,5881,477,331,316.42,0.0,3282.58
2026-01-09,2143.18,8,8,8,249.11,8,2482.77,335,225,0.025748,6406,3472,296,211,245.66,0.0,1315.53
2026-01-10,0.0,0,0,0,1731.11,0,21902.72,0,0,0.084177,31918,0,0,0,516.03,0.0,0.0
2026-01-11,1784.53,6,7,7,213.93,6,2069.32,303,204,0.021171,5649,3076,265,190,231.77,0.0,1066.1
2026-01-12,12504.92,37,35,38,1076.29,37,14351.34,878,570,0.069839,21522,11153,852,572,430.16,867.14,9960.72
2026-01-13,18449.75,53,50,59,1899.35,53,21902.72,1781,1341,0.128533,101648,33906,1728,1429,546.34,0.0,13445.09
2026-01-14,1861.1,7,7,7,221.54,7,2157.62,310,209,0.022221,5814,3162,272,195,234.88,0.0,1118.78
